,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,ensembl_id
ENSMUSG00000032549_Rab6b,437.7707299,-4.760212864,0.211591411,-22.49719324,4.42E-112,8.12E-108,,ENSMUSG00000032549
ENSMUSG00000028756_Pink1,3069.779044,-3.189984354,0.227301749,-14.03413904,9.64E-45,2.95E-41,,ENSMUSG00000028756
ENSMUSG00000041617_Ccdc74a,529.2525682,-1.777931127,0.155269628,-11.4506047,2.34E-30,3.06E-27,,ENSMUSG00000041617
ENSMUSG00000070337_Gpr179,140.0418139,-3.01880529,0.28891982,-10.44859191,1.49E-25,1.30E-22,,ENSMUSG00000070337
ENSMUSG00000040441_Slc26a10,4726.504643,-2.093819892,0.204154025,-10.25607943,1.11E-24,8.87E-22,,ENSMUSG00000040441
ENSMUSG00000033308_Dpyd,321.3737976,-2.040646477,0.208795582,-9.773417872,1.46E-22,9.96E-20,,ENSMUSG00000033308
ENSMUSG00000013611_Snx31,241.9926214,-3.115376762,0.355054034,-8.774373645,1.72E-18,6.71E-16,,ENSMUSG00000013611
ENSMUSG00000024665_Fads2,715.8221936,-1.382126187,0.162129094,-8.524849876,1.53E-17,5.20E-15,,ENSMUSG00000024665
ENSMUSG00000027350_Chgb,215.0282178,-3.304878975,0.399413783,-8.274323801,1.29E-16,4.16E-14,,ENSMUSG00000027350
ENSMUSG00000022438_Parvb,933.8409242,-1.141493998,0.141786655,-8.050785875,8.23E-16,2.36E-13,,ENSMUSG00000022438
ENSMUSG00000020904_Cfap52,216.1978659,-1.834122964,0.234676097,-7.815550819,5.47E-15,1.38E-12,,ENSMUSG00000020904
ENSMUSG00000027419_Pcsk2,761.7686499,-3.006531236,0.393405665,-7.642318096,2.13E-14,4.66E-12,,ENSMUSG00000027419
ENSMUSG00000067786_Nnat,178.1838741,-2.676267474,0.356265382,-7.512005392,5.82E-14,1.22E-11,,ENSMUSG00000067786
ENSMUSG00000005124_Ccn4,4203.097378,-1.460322996,0.194861616,-7.494154199,6.67E-14,1.36E-11,,ENSMUSG00000005124
ENSMUSG00000072575_Eddm3b,301.3485003,-1.523837683,0.204682518,-7.444884381,9.70E-14,1.94E-11,,ENSMUSG00000072575
ENSMUSG00000032181_Scg3,284.8946741,-2.736347777,0.36821699,-7.431345784,1.07E-13,2.12E-11,,ENSMUSG00000032181
ENSMUSG00000029093_Sorcs2,423.1004013,-1.261054718,0.170800795,-7.383189973,1.55E-13,2.99E-11,,ENSMUSG00000029093
ENSMUSG00000036523_Greb1,368.8091279,-2.148100665,0.300665813,-7.144479268,9.03E-13,1.48E-10,,ENSMUSG00000036523
ENSMUSG00000040724_Kcna2,171.2593297,-2.030634868,0.285359077,-7.116068953,1.11E-12,1.79E-10,,ENSMUSG00000040724
ENSMUSG00000021747_4930452B06Rik,169.6546435,-1.710617032,0.243168237,-7.0347059,2.00E-12,3.03E-10,,ENSMUSG00000021747
ENSMUSG00000046532_Ar,510.8673367,-1.143466518,0.164815663,-6.937851021,3.98E-12,5.90E-10,,ENSMUSG00000046532
ENSMUSG00000046275_Trarg1,307.0388819,-1.603462704,0.236281771,-6.786231116,1.15E-11,1.52E-09,,ENSMUSG00000046275
ENSMUSG00000019899_Lama2,782.624472,-0.968264852,0.145983128,-6.632717514,3.30E-11,4.01E-09,,ENSMUSG00000019899
ENSMUSG00000037306_Man1c1,600.68964,-0.78489869,0.11901524,-6.594942701,4.25E-11,5.11E-09,,ENSMUSG00000037306
ENSMUSG00000043557_Mdga1,206.3293897,-1.427706937,0.216737035,-6.587277246,4.48E-11,5.31E-09,,ENSMUSG00000043557
ENSMUSG00000033061_Resp18,127.2259026,-3.150394831,0.479211439,-6.574122763,4.89E-11,5.76E-09,,ENSMUSG00000033061
ENSMUSG00000024743_Syt7,190.5767961,-2.09477133,0.320259552,-6.540855115,6.12E-11,7.11E-09,,ENSMUSG00000024743
ENSMUSG00000040860_Crocc,284.9081426,-1.483696196,0.232061386,-6.393550536,1.62E-10,1.71E-08,,ENSMUSG00000040860
ENSMUSG00000027513_Pck1,2029.306681,-2.036980338,0.31892097,-6.387100658,1.69E-10,1.77E-08,,ENSMUSG00000027513
ENSMUSG00000003949_Hlf,255.7148012,-1.533572612,0.240569173,-6.374767765,1.83E-10,1.90E-08,,ENSMUSG00000003949
ENSMUSG00000005640_Insrr,100.4248338,-3.212090376,0.505413435,-6.355371964,2.08E-10,2.12E-08,,ENSMUSG00000005640
ENSMUSG00000019856_Fam184a,123.4876159,-2.106220608,0.333546966,-6.314614798,2.71E-10,2.67E-08,,ENSMUSG00000019856
ENSMUSG00000020052_Ascl1,114.8365626,-2.911000907,0.463270747,-6.283584554,3.31E-10,3.20E-08,,ENSMUSG00000020052
ENSMUSG00000050947_Amigo1,1053.657482,-0.676789166,0.10776798,-6.280057993,3.38E-10,3.25E-08,,ENSMUSG00000050947
ENSMUSG00000043144_Aqp6,114.9941483,-1.64876224,0.276976943,-5.952705742,2.64E-09,2.11E-07,,ENSMUSG00000043144
ENSMUSG00000033595_Lgi3,232.7510934,-1.568450928,0.265820032,-5.900424123,3.63E-09,2.81E-07,,ENSMUSG00000033595
ENSMUSG00000050711_Scg2,2405.193993,-3.271456276,0.559701303,-5.845003854,5.07E-09,3.80E-07,,ENSMUSG00000050711
ENSMUSG00000063455_D630045J12Rik,348.3487016,-1.792280517,0.307413548,-5.830193655,5.54E-09,4.02E-07,,ENSMUSG00000063455
ENSMUSG00000057880_Abat,282.3240789,-0.895991561,0.156567512,-5.722716998,1.05E-08,7.26E-07,,ENSMUSG00000057880
ENSMUSG00000038486_Sv2a,117.5003257,-1.534787377,0.268608297,-5.713849472,1.10E-08,7.60E-07,,ENSMUSG00000038486
ENSMUSG00000021587_Pcsk1,177.6212315,-2.271749416,0.397733823,-5.711733029,1.12E-08,7.66E-07,,ENSMUSG00000021587
ENSMUSG00000031825_Crispld2,651.5922676,-1.096171852,0.192269556,-5.701224241,1.19E-08,8.09E-07,,ENSMUSG00000031825
ENSMUSG00000036395_Glb1l2,511.9643217,-1.27832883,0.228036115,-5.605817429,2.07E-08,1.33E-06,,ENSMUSG00000036395
ENSMUSG00000020062_Slc5a8,1180.571804,-1.182457192,0.213220261,-5.54570747,2.93E-08,1.81E-06,,ENSMUSG00000020062
ENSMUSG00000030669_Calca,12365.98395,-3.156850901,0.575472835,-5.485664503,4.12E-08,2.49E-06,,ENSMUSG00000030669
ENSMUSG00000025089_Gfra1,113.5915378,-1.619620979,0.297627348,-5.441774717,5.28E-08,3.06E-06,,ENSMUSG00000025089
ENSMUSG00000033871_Ppargc1b,125.6075116,-1.29021473,0.237335006,-5.436259716,5.44E-08,3.13E-06,,ENSMUSG00000033871
ENSMUSG00000044349_Snhg11,823.0297298,-1.291062725,0.239566542,-5.38916126,7.08E-08,3.98E-06,,ENSMUSG00000044349
ENSMUSG00000035506_Slc12a8,182.7364794,-1.245495978,0.23204669,-5.367436956,7.99E-08,4.40E-06,,ENSMUSG00000035506
ENSMUSG00000062760_Shisal1,103.916178,-1.919137217,0.358586271,-5.351953973,8.70E-08,4.78E-06,,ENSMUSG00000062760
ENSMUSG00000028088_Fmo5,547.9496343,-0.649371824,0.121892098,-5.327431689,9.96E-08,5.37E-06,,ENSMUSG00000028088
ENSMUSG00000021033_Gstz1,1316.272902,-0.624358422,0.117382663,-5.319000321,1.04E-07,5.59E-06,,ENSMUSG00000021033
ENSMUSG00000002346_Slc25a42,720.0771738,-0.927470359,0.179588008,-5.164433695,2.41E-07,1.20E-05,,ENSMUSG00000002346
ENSMUSG00000059493_Nhs,121.5312742,-1.147082556,0.223083818,-5.14193528,2.72E-07,1.34E-05,,ENSMUSG00000059493
ENSMUSG00000049265_Kcnk3,248.62891,-2.147464415,0.422075996,-5.08786199,3.62E-07,1.73E-05,,ENSMUSG00000049265
ENSMUSG00000043639_Rbm20,533.6950873,-1.018374334,0.200468661,-5.07996775,3.77E-07,1.80E-05,,ENSMUSG00000043639
ENSMUSG00000067916_Zfp991,151.1729055,-1.557969245,0.306930636,-5.075965251,3.86E-07,1.82E-05,,ENSMUSG00000067916
ENSMUSG00000010663_Fads1,1104.801472,-0.69459944,0.137087873,-5.066819018,4.05E-07,1.89E-05,,ENSMUSG00000010663
ENSMUSG00000021763_BC067074,185.3897466,-1.190792495,0.235781915,-5.050397937,4.41E-07,2.02E-05,,ENSMUSG00000021763
ENSMUSG00000019326_Aoc3,680.3935955,-1.266942407,0.251389926,-5.039750115,4.66E-07,2.12E-05,,ENSMUSG00000019326
ENSMUSG00000003123_Lipe,1707.526969,-1.22161119,0.24296596,-5.027910866,4.96E-07,2.22E-05,,ENSMUSG00000003123
ENSMUSG00000022066_Entpd4b,1252.822741,-0.766590022,0.154230759,-4.970409451,6.68E-07,2.91E-05,,ENSMUSG00000022066
ENSMUSG00000025738_Fbxl16,120.3913863,-1.201298375,0.244395793,-4.915380748,8.86E-07,3.73E-05,,ENSMUSG00000025738
ENSMUSG00000055254_Ntrk2,595.8441252,-1.060100796,0.215781442,-4.912845092,8.98E-07,3.76E-05,,ENSMUSG00000055254
ENSMUSG00000029022_Miip,285.6541251,-1.254365275,0.256437721,-4.891500625,1.00E-06,4.13E-05,,ENSMUSG00000029022
ENSMUSG00000055745_Rtl6,279.0723923,-0.948209486,0.19510077,-4.860101189,1.17E-06,4.69E-05,,ENSMUSG00000055745
ENSMUSG00000006494_Pdk1,1280.835452,-0.720596919,0.148537919,-4.851265751,1.23E-06,4.88E-05,,ENSMUSG00000006494
ENSMUSG00000032875_Arhgef17,1089.188086,-0.769498054,0.159585459,-4.821855685,1.42E-06,5.52E-05,,ENSMUSG00000032875
ENSMUSG00000041653_Pnpla3,208.9208402,-1.599778084,0.332862737,-4.806119482,1.54E-06,5.91E-05,,ENSMUSG00000041653
ENSMUSG00000006362_Cbfa2t3,800.6732964,-1.006136612,0.210432748,-4.781273928,1.74E-06,6.55E-05,,ENSMUSG00000006362
ENSMUSG00000033419_Snap91,140.3664509,-2.087891377,0.438151146,-4.765230894,1.89E-06,7.01E-05,,ENSMUSG00000033419
ENSMUSG00000030029_Lrig1,1417.246584,-0.666087586,0.140169947,-4.75199997,2.01E-06,7.44E-05,,ENSMUSG00000030029
ENSMUSG00000034656_Cacna1a,958.2456763,-1.03086033,0.218197642,-4.724433869,2.31E-06,8.39E-05,,ENSMUSG00000034656
ENSMUSG00000037071_Scd1,41338.08874,-1.476709475,0.313341506,-4.712779661,2.44E-06,8.85E-05,,ENSMUSG00000037071
ENSMUSG00000042064_Myo3b,426.0473082,-1.084247462,0.233576527,-4.641936747,3.45E-06,0.000119814,,ENSMUSG00000042064
ENSMUSG00000056486_Chn1,291.8852311,-1.170435675,0.257411963,-4.546935824,5.44E-06,0.00017913,,ENSMUSG00000056486
ENSMUSG00000014164_Klhl3,154.4643924,-1.197047244,0.263502596,-4.542829036,5.55E-06,0.000182004,,ENSMUSG00000014164
ENSMUSG00000002997_Prkar2b,969.585941,-1.26556565,0.279063996,-4.535037367,5.76E-06,0.000187515,,ENSMUSG00000002997
ENSMUSG00000034258_Flvcr2,159.4979901,-1.082780616,0.239417192,-4.52256835,6.11E-06,0.000197164,,ENSMUSG00000034258
ENSMUSG00000025092_Hspa12a,282.9563688,-0.809398559,0.17960167,-4.506631577,6.59E-06,0.000210344,,ENSMUSG00000025092
