,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000032549_Rab6b,437.7707299,-4.760212864,0.211591411,-22.49719324,4.42E-112,8.12E-108
ENSMUSG00000030268_Bcat1,970.2375277,4.822886335,0.250800375,19.22998054,2.08E-82,1.91E-78
ENSMUSG00000029816_Gpnmb,1541.975088,4.221666026,0.252242608,16.73653023,7.10E-63,4.35E-59
ENSMUSG00000032327_Stra6,159.458803,3.989562059,0.258113206,15.45663671,6.81E-54,3.12E-50
ENSMUSG00000024421_Lama3,1108.182296,2.834881913,0.199722682,14.19409098,9.97E-46,3.66E-42
ENSMUSG00000028756_Pink1,3069.779044,-3.189984354,0.227301749,-14.03413904,9.64E-45,2.95E-41
ENSMUSG00000117465_Gm49980,345.0092578,3.131371259,0.229609688,13.63780109,2.39E-42,6.26E-39
ENSMUSG00000046402_Rbp1,3358.617847,2.06661083,0.153417376,13.47051347,2.33E-41,5.35E-38
ENSMUSG00000025902_Sox17,484.8808838,3.023025673,0.236329915,12.79154891,1.83E-37,3.73E-34
ENSMUSG00000078591_Hs3st4,131.26263,8.29253498,0.671702752,12.34554265,5.15E-35,9.45E-32
ENSMUSG00000042842_Serpinb6b,348.3603167,2.767619656,0.227825082,12.14800248,5.88E-34,9.81E-31
ENSMUSG00000078503_Zfp990,123.4643213,8.394962771,0.712667432,11.77963576,4.97E-32,7.61E-29
ENSMUSG00000041617_Ccdc74a,529.2525682,-1.777931127,0.155269628,-11.4506047,2.34E-30,3.06E-27
ENSMUSG00000023349_Clec4n,140.5235777,4.242848126,0.378938713,11.19666052,4.23E-29,5.18E-26
ENSMUSG00000029162_Khk,804.5871074,2.230313837,0.200216918,11.13948738,8.06E-29,9.25E-26
ENSMUSG00000024935_Slc1a1,1823.036733,2.771630462,0.24957488,11.10540639,1.18E-28,1.28E-25
ENSMUSG00000019055_Plod1,2030.269041,1.810490297,0.167621337,10.801073,3.40E-27,3.47E-24
ENSMUSG00000070337_Gpr179,140.0418139,-3.01880529,0.28891982,-10.44859191,1.49E-25,1.30E-22
ENSMUSG00000049723_Mmp12,2009.392196,3.938987415,0.383314597,10.27612161,9.03E-25,7.54E-22
ENSMUSG00000040441_Slc26a10,4726.504643,-2.093819892,0.204154025,-10.25607943,1.11E-24,8.87E-22
ENSMUSG00000033308_Dpyd,321.3737976,-2.040646477,0.208795582,-9.773417872,1.46E-22,9.96E-20
ENSMUSG00000050335_Lgals3,2266.815319,2.674515887,0.27882307,9.592161388,8.63E-22,5.46E-19
ENSMUSG00000058897_Col25a1,251.7726189,3.537908912,0.3743844,9.44993678,3.39E-21,2.08E-18
ENSMUSG00000024659_Anxa1,9105.212473,2.487206738,0.265761228,9.358802103,8.06E-21,4.63E-18
ENSMUSG00000030302_Atp2b2,267.9884786,3.881395403,0.41565301,9.338066393,9.81E-21,5.30E-18
ENSMUSG00000045827_Serpinb9,1031.96042,1.36719569,0.148404565,9.212625573,3.18E-20,1.62E-17
ENSMUSG00000089929_Bcl2a1b,149.8010931,2.363512942,0.26299848,8.986793172,2.55E-19,1.23E-16
ENSMUSG00000026822_Lcn2,217.4338992,3.716762975,0.414210561,8.973124599,2.88E-19,1.36E-16
ENSMUSG00000024517_Grp,1344.69954,2.930727757,0.327226336,8.956271051,3.36E-19,1.51E-16
ENSMUSG00000031779_Ccl22,160.7611408,3.47483842,0.388007043,8.955606562,3.38E-19,1.51E-16
ENSMUSG00000044594_Serpinb3a,490.1115304,27.02507661,3.026235737,8.930261541,4.25E-19,1.86E-16
ENSMUSG00000079293_Clec7a,427.6568295,2.508287244,0.281157061,8.921302687,4.61E-19,1.97E-16
ENSMUSG00000047250_Ptgs1,598.3137742,1.878053565,0.212667,8.830959032,1.04E-18,4.23E-16
ENSMUSG00000013611_Snx31,241.9926214,-3.115376762,0.355054034,-8.774373645,1.72E-18,6.71E-16
ENSMUSG00000039070_Cpa4,308.1373542,2.400723518,0.273543211,8.77639592,1.69E-18,6.71E-16
ENSMUSG00000007891_Ctsd,28989.28293,0.999283983,0.114494526,8.727788277,2.60E-18,9.94E-16
ENSMUSG00000112023_Lilr4b,521.2772445,2.177384831,0.251322301,8.663715175,4.57E-18,1.64E-15
ENSMUSG00000029188_Slc34a2,593.5277088,3.912321904,0.454297452,8.611806848,7.19E-18,2.54E-15
ENSMUSG00000024665_Fads2,715.8221936,-1.382126187,0.162129094,-8.524849876,1.53E-17,5.20E-15
ENSMUSG00000063652_Slc22a21,211.3421743,2.144296348,0.255387205,8.396255986,4.61E-17,1.54E-14
