Gene symbol	P2	P4	P6	P8	P9	W5	W6	W7	W8	W9
A2M	160.6841862	275.9691017	202.914823	210.5976074	287.9620891	276.7148369	269.1155707	268.5903948	231.0557398	256.3001085
A3GALT2	2829.930255	2327.807295	2939.273618	2404.764793	2073.78588	3264.922812	3312.860924	2314.693902	2874.306667	2597.44538
A4GALT	372.9261944	419.7020872	282.9902925	420.5272248	322.8168869	595.5102307	122.0046846	168.2142262	125.8129502	174.5429951
AAAS	1570.522705	2251.077451	2597.385457	4360.716706	3109.767618	842.6341919	1055.83325	1065.345609	1262.852404	1186.583288
AACS	15.96396969	9.894602482	10.58237529	13.78413432	9.389264027	6.827664365	18.861798	0	12.03203046	11.40647552
AADAC	4008.801731	2569.865933	1262.946041	1379.88683	600.7450361	430.2741628	541.3141043	705.884539	551.1487526	825.3186372
AADACL2	496.4196755	411.405593	420.8658769	528.5859545	421.4891483	363.1383989	433.8804928	435.1498018	394.8157824	495.9909622
AADACL3	4.686531213	0	0.637823143	0.652793679	0.666730937	1.562685387	1.395685054	0	0	0
AADAT	7.794064349	3.064361779	5.779866784	3.799914851	3.155866649	12.51479117	11.8100458	0	10.88063984	4.938336463
AAGAB	956.3229814	625.9079711	1031.759503	709.1200659	597.8080717	522.2741286	642.1828026	709.9600433	805.3737979	692.4612664
AAK1	37.35427316	86.0599235	35.23552824	182.0848803	49.55894952	11.76414379	16.1265857	0	11.68716528	6.280585024
AAMDC	1736.303642	1801.312342	1766.747142	1593.084393	1686.742493	1157.652013	1394.670036	1335.592513	1781.017095	1293.88707
AAMP	2.256589286	11.66353642	5.917403169	13.79882887	12.74285898	14.59422449	17.9233444	0	8.058267252	16.72463487
AANAT	3090.435293	2503.147035	2924.898541	2372.597248	2147.405754	2729.441113	3073.853317	3866.471915	4003.277319	3050.924019
AAR2	6.289831159	5.156555051	3.973202868	3.875273617	6.438515085	11.44440937	17.2071771	0	13.38614414	19.40528852
