"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032549_Rab6b",437.770729909991,4.76021286399319,0.211591411120111,22.4971932404715,4.42172778233394e-112,8.11961872669982e-108
"ENSMUSG00000030268_Bcat1",970.237527693757,-4.82288633468769,0.250800375184088,-19.2299805418859,2.07706060882471e-82,1.90705319799241e-78
"ENSMUSG00000029816_Gpnmb",1541.97508757541,-4.2216660256094,0.252242607557879,-16.73653022573,7.10085391058429e-63,4.34643267866865e-59
"ENSMUSG00000032327_Stra6",159.458802970437,-3.98956205921391,0.258113206189556,-15.4566367142177,6.80605830920123e-54,3.12449121829656e-50
"ENSMUSG00000024421_Lama3",1108.18229643009,-2.83488191251804,0.199722681528638,-14.1940909806558,9.96704809298095e-46,3.66049808262818e-42
"ENSMUSG00000028756_Pink1",3069.77904395834,3.18998435438969,0.227301749268902,14.0341390449041,9.63595332412148e-45,2.94908351484738e-41
"ENSMUSG00000117465_Gm49980",345.009257764504,-3.1313712590242,0.229609688492365,-13.6378010857688,2.38648524990906e-42,6.26043266344001e-39
"ENSMUSG00000046402_Rbp1",3358.61784742006,-2.06661083014288,0.15341737600852,-13.4705134705739,2.33238347527673e-41,5.35369471956333e-38
"ENSMUSG00000025902_Sox17",484.880883827887,-3.02302567344936,0.236329915490658,-12.791548912346,1.8279400637946e-37,3.72960704349557e-34
"ENSMUSG00000078591_Hs3st4",131.262629982345,-8.29253497954884,0.671702752378781,-12.3455426528796,5.14859196978266e-35,9.4543594341119e-32
"ENSMUSG00000042842_Serpinb6b",348.360316669324,-2.76761965550493,0.227825081528339,-12.1480024804058,5.87843044305875e-34,9.81323802053526e-31
"ENSMUSG00000078503_Zfp990",123.464321314599,-8.39496277135081,0.71266743227655,-11.7796357615696,4.97074028122397e-32,7.60647531534298e-29
"ENSMUSG00000091418_Gm3164",73.222007932374,-6.77947174395753,0.582118729018667,-11.6462010342569,2.3991767154115e-31,3.38892938654627e-28
"ENSMUSG00000041617_Ccdc74a",529.252568165857,1.77793112660144,0.155269627501724,11.4506047010494,2.33510836902702e-30,3.06282821288879e-27
"ENSMUSG00000023349_Clec4n",140.523577745139,-4.24284812629061,0.378938712955636,-11.1966605185238,4.23394356032991e-29,5.18319370655587e-26
"ENSMUSG00000029162_Khk",804.587107407242,-2.23031383747731,0.200216918483954,-11.13948738381,8.05818226854882e-29,9.24827506233512e-26
"ENSMUSG00000024935_Slc1a1",1823.03673280214,-2.7716304621887,0.249574879508951,-11.1054063920295,1.18078970006333e-28,1.27546125072135e-25
"ENSMUSG00000019055_Plod1",2030.26904133501,-1.81049029749548,0.167621337043591,-10.8010729983895,3.40204388293301e-27,3.4706517679055e-24
"ENSMUSG00000090363_Gm3512",50.2066444238964,-3.80466374179769,0.35241331498695,-10.7960272214419,3.59420577473e-27,3.47370529691405e-24
"ENSMUSG00000078496_Zfp982",44.0457758042368,4.94595802441057,0.4716562389434,10.4863619221712,9.97973425559089e-26,9.16289300677078e-23
"ENSMUSG00000070337_Gpr179",140.041813948544,3.01880529049739,0.288919819801053,10.4485919054501,1.48716768147275e-25,1.30042191118496e-22
"ENSMUSG00000049723_Mmp12",2009.39219572027,-3.93898741522842,0.383314597106989,-10.2761216112232,9.02880418384037e-25,7.53617869217549e-22
"ENSMUSG00000040441_Slc26a10",4726.50464251628,2.09381989163625,0.204154024536467,10.2560794301767,1.11127360494353e-24,8.87231182938176e-22
"ENSMUSG00000094628_Gm3252",52.0314719949272,-5.50913954790779,0.554068844770846,-9.94305960333554,2.70392079496453e-23,2.06883739824723e-20
"ENSMUSG00000054753_AU018091",43.0227000779075,-6.00234686977007,0.606617113278127,-9.89478657687995,4.38544815179724e-23,3.22119937645811e-20
"ENSMUSG00000095295_Gm3488",82.3929525675889,-4.87519738318311,0.493547830160301,-9.87786205361228,5.19289683578077e-23,3.66758325367085e-20
"ENSMUSG00000033308_Dpyd",321.373797595843,2.04064647669181,0.208795582402861,9.77341787219657,1.46427139377045e-22,9.95867244585439e-20
"ENSMUSG00000096039_D830030K20Rik",53.0789530444481,-5.41341578605567,0.557226694248373,-9.7149254368685,2.60439571874055e-22,1.70801852082974e-19
"ENSMUSG00000050335_Lgals3",2266.81531874061,-2.67451588693874,0.2788230700752,-9.59216138828617,8.6258763148582e-22,5.46196437137038e-19
"ENSMUSG00000058897_Col25a1",251.772618886919,-3.53790891198499,0.374384400052351,-9.44993678019242,3.39035406926442e-21,2.07523572579675e-18
"ENSMUSG00000096488_Gm10409",45.660042633679,-5.65852513316245,0.601689250257634,-9.40439791925743,5.23289350494981e-21,3.09972978810946e-18
"ENSMUSG00000024659_Anxa1",9105.21247349732,-2.4872067384019,0.265761227882577,-9.35880210299465,8.06457961120502e-21,4.62780860626743e-18
"ENSMUSG00000079402_Gm3020",43.1786237796208,-5.60807554194798,0.599977903284967,-9.34713680494389,9.00524315969236e-21,5.01100848913427e-18
"ENSMUSG00000030302_Atp2b2",267.988478649442,-3.88139540283455,0.415653009875327,-9.33806639340528,9.81093930567543e-21,5.29877289617994e-18
"ENSMUSG00000084350_Znf41-ps",79.1280280666558,3.10969317059966,0.337169887230188,9.22292674516528,2.89099326083571e-20,1.51678026424932e-17
"ENSMUSG00000045827_Serpinb9",1031.9604199861,-1.36719568968661,0.148404564893909,-9.2126255729666,3.18243518886292e-20,1.62330714925249e-17
"ENSMUSG00000095681_Gm8281",42.1946329551752,-4.95150471677465,0.546066740386462,-9.06758158035843,1.21687851558224e-19,6.03933518422614e-17
"ENSMUSG00000089929_Bcl2a1b",149.801093110153,-2.36351294159036,0.262998479692661,-8.98679317215959,2.54549040668339e-19,1.23007474573492e-16
"ENSMUSG00000026822_Lcn2",217.433899235387,-3.71676297477889,0.414210561070516,-8.9731245991725,2.88219762145015e-19,1.35707166468434e-16
