,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,
ENSMUSG00000032549_Rab6b,437.7707299,4.760212864,0.211591411,22.49719324,4.42E-112,8.12E-108,,,19,ENSMUSG00000032549
ENSMUSG00000030268_Bcat1,970.2375277,-4.822886335,0.250800375,-19.22998054,2.08E-82,1.91E-78,,,19,ENSMUSG00000030268
ENSMUSG00000029816_Gpnmb,1541.975088,-4.221666026,0.252242608,-16.73653023,7.10E-63,4.35E-59,,,19,ENSMUSG00000029816
ENSMUSG00000032327_Stra6,159.458803,-3.989562059,0.258113206,-15.45663671,6.81E-54,3.12E-50,,,19,ENSMUSG00000032327
ENSMUSG00000024421_Lama3,1108.182296,-2.834881913,0.199722682,-14.19409098,9.97E-46,3.66E-42,,,19,ENSMUSG00000024421
ENSMUSG00000028756_Pink1,3069.779044,3.189984354,0.227301749,14.03413904,9.64E-45,2.95E-41,,,19,ENSMUSG00000028756
ENSMUSG00000117465_Gm49980,345.0092578,-3.131371259,0.229609688,-13.63780109,2.39E-42,6.26E-39,,,19,ENSMUSG00000117465
ENSMUSG00000046402_Rbp1,3358.617847,-2.06661083,0.153417376,-13.47051347,2.33E-41,5.35E-38,,,19,ENSMUSG00000046402
ENSMUSG00000025902_Sox17,484.8808838,-3.023025673,0.236329915,-12.79154891,1.83E-37,3.73E-34,,,19,ENSMUSG00000025902
ENSMUSG00000078591_Hs3st4,131.26263,-8.29253498,0.671702752,-12.34554265,5.15E-35,9.45E-32,,,19,ENSMUSG00000078591
ENSMUSG00000042842_Serpinb6b,348.3603167,-2.767619656,0.227825082,-12.14800248,5.88E-34,9.81E-31,,,19,ENSMUSG00000042842
ENSMUSG00000078503_Zfp990,123.4643213,-8.394962771,0.712667432,-11.77963576,4.97E-32,7.61E-29,,,19,ENSMUSG00000078503
ENSMUSG00000091418_Gm3164,73.22200793,-6.779471744,0.582118729,-11.64620103,2.40E-31,3.39E-28,,,19,ENSMUSG00000091418
ENSMUSG00000041617_Ccdc74a,529.2525682,1.777931127,0.155269628,11.4506047,2.34E-30,3.06E-27,,,19,ENSMUSG00000041617
