NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIPE	lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]	108	1.456960916519165	0.008121707	Yes	
row_1	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	156	1.283543348312378	0.018350326	Yes	
row_2	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	165	1.2677505016326904	0.030905958	Yes	
row_3	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	174	1.2458536624908447	0.043235905	Yes	
row_4	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	210	1.1849766969680786	0.053214714	Yes	
row_5	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	270	1.097862958908081	0.060763486	Yes	
row_6	ACADL	acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]	284	1.074697494506836	0.07101017	Yes	
row_7	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	294	1.0660936832427979	0.08142354	Yes	
row_8	GPD2	glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]	299	1.0622731447219849	0.092116736	Yes	
row_9	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	318	1.0494285821914673	0.101783775	Yes	
row_10	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	331	1.0356533527374268	0.111691885	Yes	
row_11	CPT2	carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]	382	0.9911558032035828	0.11871543	Yes	
row_12	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	419	0.9672217965126038	0.12638605	Yes	
row_13	CIDEA	cell death inducing DFFA like effector a [Source:HGNC Symbol;Acc:HGNC:1976]	425	0.9609552621841431	0.13597116	Yes	
row_14	GBE1	1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]	431	0.9569975137710571	0.14551546	Yes	
