NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	222	1.172471046447754	-0.005182561	No	
row_1	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	310	1.0557714700698853	-0.0026451217	No	
row_2	CD1D	CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]	349	1.019264817237854	0.0027392195	No	
row_3	CCL11	C-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10610]	411	0.9733821749687195	0.006304447	No	
row_4	APBB1	amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]	906	0.7405102252960205	-0.019543355	No	
row_5	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	1056	0.6956325769424438	-0.023721203	No	
row_6	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	1159	0.670815646648407	-0.025090205	No	
row_7	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	1363	0.6283396482467651	-0.033229247	No	
row_8	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	1686	0.5738110542297363	-0.049379222	No	
row_9	CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	1788	0.5606434345245361	-0.051528495	No	
row_10	NCR1	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]	1818	0.5557873845100403	-0.049120788	No	
row_11	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	1837	0.5544072389602661	-0.04602177	No	
row_12	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	2093	0.5220646262168884	-0.058293056	No	
row_13	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	2204	0.503923237323761	-0.06145116	No	
row_14	MRPL3	mitochondrial ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10379]	2695	0.4501475691795349	-0.08926833	No	
row_15	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2797	0.44155943393707275	-0.09232996	No	
row_16	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	2924	0.4299156367778778	-0.097076	No	
row_17	MTIF2	mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]	3731	0.3591415584087372	-0.14575376	No	
row_18	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	3876	0.3470129370689392	-0.15228349	No	
row_19	IL2	interleukin 2 [Source:HGNC Symbol;Acc:HGNC:6001]	3977	0.3369239866733551	-0.15608297	No	
row_20	CRTAM	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]	4017	0.33364781737327576	-0.15601526	No	
row_21	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	4038	0.33221131563186646	-0.1547462	No	
row_22	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	4291	0.3076110780239105	-0.16846909	No	
row_23	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	4451	0.2929878830909729	-0.17636986	No	
row_24	FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	4776	0.26214754581451416	-0.19503523	No	
row_25	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	4868	0.2523399293422699	-0.19890848	No	
row_26	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	5031	0.2380146086215973	-0.20742185	No	
row_27	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	5245	0.21803782880306244	-0.21934249	No	
row_28	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	5298	0.21336227655410767	-0.22102584	No	
row_29	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	5371	0.20748040080070496	-0.22403042	No	
row_30	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]	5444	0.2009388655424118	-0.22708511	No	
