NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRXN2	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]	116	1.424099326133728	0.0055550463	No	
row_1	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	165	1.2677505016326904	0.014027444	No	
row_2	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	240	1.1420787572860718	0.01969685	No	
row_3	AMIGO1	adhesion molecule with Ig like domain 1 [Source:HGNC Symbol;Acc:HGNC:20824]	276	1.086459755897522	0.027349299	No	
row_4	CADM3	cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601]	355	1.014279842376709	0.031600498	No	
row_5	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	469	0.9255797863006592	0.03281071	No	
row_6	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	482	0.9176095128059387	0.040394656	No	
row_7	NF2	neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]	660	0.8337411880493164	0.03668442	No	
row_8	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	681	0.8232832551002502	0.042899445	No	
row_9	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	690	0.8198915719985962	0.0498495	No	
row_10	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	752	0.7917546629905701	0.053160828	No	
row_11	CLDN19	claudin 19 [Source:HGNC Symbol;Acc:HGNC:2040]	1144	0.6761532425880432	0.0343582	No	
row_12	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	1160	0.6702576875686646	0.039499883	No	
row_13	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	1352	0.6300236582756042	0.033042364	No	
