NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	9	3.0086355209350586	0.034779955	No	
row_1	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	139	1.3311539888381958	0.042206742	No	
row_2	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	154	1.2905957698822021	0.056480393	No	
row_3	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	600	0.8621033430099487	0.038272038	No	
row_4	AIFM3	apoptosis inducing factor mitochondria associated 3 [Source:HGNC Symbol;Acc:HGNC:26398]	695	0.8177818059921265	0.0418953	No	
row_5	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	1555	0.5945017337799072	-0.005821908	No	
row_6	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	1673	0.5752069354057312	-0.0065137213	No	
row_7	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1898	0.5472327470779419	-0.014348231	No	
row_8	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	2191	0.5062950849533081	-0.026994163	No	
row_9	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	2258	0.4974931478500366	-0.025351368	No	
row_10	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	2344	0.48878028988838196	-0.025020914	No	
row_11	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	2491	0.47135189175605774	-0.028779862	No	
row_12	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2557	0.46427449584007263	-0.027463723	No	
row_13	FEZ1	fasciculation and elongation protein zeta 1 [Source:HGNC Symbol;Acc:HGNC:3659]	2593	0.4603935480117798	-0.024282722	No	
row_14	PLPPR4	phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496]	2772	0.4434003233909607	-0.030407943	No	
row_15	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	3211	0.40546467900276184	-0.053536274	No	
row_16	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	3252	0.40219759941101074	-0.05135752	No	
row_17	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	3387	0.39046719670295715	-0.055302717	No	
row_18	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	3477	0.38105466961860657	-0.056492828	No	
row_19	NEFH	neurofilament heavy [Source:HGNC Symbol;Acc:HGNC:7737]	3700	0.36220094561576843	-0.0663742	No	
row_20	DNM1L	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]	3807	0.3525073528289795	-0.06898235	No	
row_21	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	4077	0.3290192484855652	-0.082246676	No	
