NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	37	2.135025978088379	0.034954567	Yes	
row_1	AR	androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]	51	1.8372420072555542	0.06622907	Yes	
row_2	LIPE	lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]	108	1.456960916519165	0.08813143	Yes	
row_3	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	156	1.283543348312378	0.107574925	Yes	
row_4	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	184	1.2226749658584595	0.12722383	Yes	
row_5	FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	211	1.1840603351593018	0.14626154	Yes	
row_6	DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	246	1.1302781105041504	0.16385205	Yes	
row_7	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	294	1.0660936832427979	0.1794964	Yes	
row_8	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	307	1.058688759803772	0.19723187	Yes	
row_9	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	347	1.0209540128707886	0.21259512	Yes	
row_10	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	424	0.9632971882820129	0.22460358	Yes	
row_11	NR3C2	nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]	624	0.8504660129547119	0.22683714	Yes	
row_12	CYP46A1	cytochrome P450 family 46 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2641]	767	0.7860319018363953	0.23156126	Yes	
row_13	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	789	0.7786594033241272	0.24383323	Yes	
row_14	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	843	0.7583847641944885	0.2537208	Yes	
row_15	CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	872	0.7480921745300293	0.26501462	Yes	
row_16	ABCA8	ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]	933	0.7326123118400574	0.2740078	Yes	
row_17	HACL1	2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:HGNC:17856]	941	0.7309984564781189	0.2863353	Yes	
row_18	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	1017	0.7081235647201538	0.29394895	Yes	
row_19	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	1233	0.6549897193908691	0.29175216	Yes	
row_20	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	1429	0.617629885673523	0.2901715	Yes	
row_21	PAOX	polyamine oxidase [Source:HGNC Symbol;Acc:HGNC:20837]	1469	0.609653890132904	0.29834875	Yes	
row_22	LONP2	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]	1500	0.6046585440635681	0.3070097	Yes	
row_23	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1514	0.6018494963645935	0.3167001	Yes	
row_24	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	1627	0.5828067064285278	0.31977686	Yes	
row_25	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	1755	0.5657914876937866	0.3216047	Yes	
row_26	PXMP2	peroxisomal membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:9716]	1870	0.5509719848632812	0.3239984	Yes	
row_27	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	1897	0.5472763180732727	0.33191058	Yes	
row_28	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	1911	0.545303463935852	0.34061304	Yes	
row_29	PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]	2072	0.5242862701416016	0.33962208	Yes	
row_30	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	2222	0.5017431974411011	0.33893514	Yes	
row_31	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	2306	0.49245312809944153	0.34227318	Yes	
row_32	NUDT12	nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]	2376	0.4850456416606903	0.34637	Yes	
row_33	NR1I2	nuclear receptor subfamily 1 group I member 2 [Source:HGNC Symbol;Acc:HGNC:7968]	2614	0.4573970139026642	0.33932525	Yes	
row_34	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	2780	0.4424247145652771	0.33658683	Yes	
row_35	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2797	0.44155943393707275	0.3432864	Yes	
row_36	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	2905	0.43196067214012146	0.3440449	Yes	
row_37	PIPOX	pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]	2971	0.4254159927368164	0.3473537	Yes	
