NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCAPD2	non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]	1245	0.652740478515625	-0.07327893	No	
row_1	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	1384	0.6251053214073181	-0.07614455	No	
row_2	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	1578	0.5898016691207886	-0.08285739	No	
row_3	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	1829	0.5548752546310425	-0.09354154	No	
row_4	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	1866	0.552243173122406	-0.090587944	No	
row_5	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	1922	0.544191837310791	-0.08892397	No	
row_6	PHF5A	PHD finger protein 5A [Source:HGNC Symbol;Acc:HGNC:18000]	1924	0.5440152287483215	-0.08381406	No	
row_7	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	2491	0.47135189175605774	-0.11546748	No	
row_8	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]	2709	0.4489028751850128	-0.12505259	No	
row_9	NUP153	nucleoporin 153 [Source:HGNC Symbol;Acc:HGNC:8062]	3150	0.41003525257110596	-0.1492447	No	
row_10	SPAG5	sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]	3482	0.38048499822616577	-0.16675878	No	
row_11	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	3918	0.34286248683929443	-0.1912705	No	
row_12	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	4079	0.328812837600708	-0.19835855	No	
row_13	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	4149	0.321829229593277	-0.19970314	No	
row_14	CTCF	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	4429	0.29527923464775085	-0.21470763	No	
row_15	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	4432	0.2946665287017822	-0.21203294	No	
row_16	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	4631	0.2769332826137543	-0.22204047	No	
row_17	PSMC3IP	PSMC3 interacting protein [Source:HGNC Symbol;Acc:HGNC:17928]	4812	0.25769808888435364	-0.23108174	No	
row_18	XRCC6	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	5007	0.24090972542762756	-0.24117649	No	
row_19	E2F8	E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]	5014	0.24006551504135132	-0.23927647	No	
row_20	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	5300	0.21310466527938843	-0.2554455	No	
row_21	DCLRE1B	DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]	5480	0.19766844809055328	-0.26499385	No	
row_22	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	5483	0.19741873443126678	-0.263244	No	
row_23	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	5621	0.1851060837507248	-0.27023032	No	
