NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	60	1.7396700382232666	0.012684792	No	
row_1	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	120	1.4063360691070557	0.022269238	No	
row_2	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	217	1.1774373054504395	0.02731967	No	
row_3	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	241	1.1409294605255127	0.036682136	No	
row_4	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	247	1.129773497581482	0.047087394	No	
row_5	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	270	1.097862958908081	0.05610487	No	
row_6	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	388	0.9854047298431396	0.0579923	No	
row_7	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	414	0.9728697538375854	0.06563183	No	
row_8	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	433	0.9552345275878906	0.07355067	No	
row_9	PGR	progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]	446	0.9439277052879333	0.08174508	No	
row_10	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	459	0.9359367489814758	0.089863636	No	
row_11	SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	703	0.8142356872558594	0.08208541	No	
row_12	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	797	0.7756940126419067	0.08351375	No	
row_13	PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	997	0.71333909034729	0.077585675	No	
row_14	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:HGNC Symbol;Acc:HGNC:28908]	1217	0.6577377915382385	0.06985348	No	
row_15	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	1479	0.6087386012077332	0.058975883	No	
row_16	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	1640	0.5808912515640259	0.054279383	No	
row_17	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	1692	0.5730966925621033	0.05646486	No	
row_18	ARL3	ADP ribosylation factor like GTPase 3 [Source:HGNC Symbol;Acc:HGNC:694]	1824	0.5552206635475159	0.05337535	No	
row_19	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	1911	0.545303463935852	0.053063434	No	
row_20	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1942	0.5411670207977295	0.05628596	No	
row_21	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	2137	0.5148578882217407	0.048792884	No	
row_22	FOXC1	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	2217	0.5023708939552307	0.048520144	No	
row_23	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	2222	0.5017431974411011	0.053027663	No	
row_24	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	2306	0.49245312809944153	0.052405514	No	
row_25	MOCS2	molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193]	2388	0.4831399917602539	0.05182259	No	
row_26	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	2454	0.4752863049507141	0.05218618	No	
row_27	AGR2	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	2552	0.46489977836608887	0.050409053	No	
row_28	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	2556	0.4643116295337677	0.054625068	No	
row_29	ETFB	electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]	2649	0.4538048803806305	0.05306171	No	
row_30	TFF1	trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755]	2745	0.4459516704082489	0.05123235	No	
row_31	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	2803	0.4413260519504547	0.051784102	No	
row_32	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	2961	0.4265284836292267	0.045813765	No	
row_33	MAPT	microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]	3063	0.4183981418609619	0.04333996	No	
row_34	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	3210	0.40546974539756775	0.0378717	No	
row_35	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	3246	0.40234777331352234	0.039457407	No	
row_36	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	3378	0.3909255862236023	0.034808334	No	
row_37	HR	HR lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:5172]	3464	0.3820223808288574	0.033010293	No	
row_38	TH	tyrosine hydroxylase [Source:HGNC Symbol;Acc:HGNC:11782]	3495	0.37972351908683777	0.03470032	No	
row_39	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	3583	0.37158265709877014	0.032675546	No	
row_40	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	3678	0.3645400404930115	0.030137207	No	
row_41	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	3746	0.3582727313041687	0.029262414	No	
row_42	DLG5	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]	3859	0.348396360874176	0.025422141	No	
row_43	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	3878	0.34692972898483276	0.02756667	No	
row_44	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	4149	0.321829229593277	0.013391247	No	
row_45	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	4795	0.25973188877105713	-0.02530471	No	
row_46	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	5162	0.2259938269853592	-0.046516202	No	
row_47	ITPK1	inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]	5203	0.22197294235229492	-0.04696178	No	
row_48	AMFR	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	5571	0.18962004780769348	-0.06858237	No	
row_49	BAG1	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]	5628	0.18464365601539612	-0.07040335	No	
