NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEIS1	Meis homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7000]	585	0.869233250617981	-0.028867945	No	
row_1	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	615	0.8547142148017883	-0.022391014	No	
row_2	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	1068	0.6929041147232056	-0.044488367	No	
row_3	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	1384	0.6251053214073181	-0.058502376	No	
row_4	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	1442	0.6147401928901672	-0.056150693	No	
row_5	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	1578	0.5898016691207886	-0.0590203	No	
row_6	FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]	1835	0.5546216368675232	-0.06995542	No	
row_7	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	1925	0.5436491966247559	-0.070338786	No	
row_8	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	1970	0.5374587774276733	-0.06791037	No	
row_9	CUL5	cullin 5 [Source:HGNC Symbol;Acc:HGNC:2556]	2426	0.4786074161529541	-0.09228718	No	
row_10	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	2445	0.47657647728919983	-0.08879254	No	
row_11	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	2491	0.47135189175605774	-0.08707205	No	
row_12	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	2768	0.4436919093132019	-0.100364506	No	
row_13	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	2987	0.42410093545913696	-0.110146016	No	
row_14	AMD1	adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]	3494	0.3797632157802582	-0.13874096	No	
row_15	MTF2	metal response element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:29535]	3567	0.37318307161331177	-0.13970023	No	
row_16	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	3647	0.36775729060173035	-0.14115913	No	
row_17	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	3817	0.3517792224884033	-0.14851792	No	
row_18	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	4149	0.321829229593277	-0.16650806	No	
row_19	H2AZ2	H2A.Z variant histone 2 [Source:HGNC Symbol;Acc:HGNC:20664]	4363	0.30195531249046326	-0.17716058	No	
row_20	CTCF	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	4429	0.29527923464775085	-0.17843214	No	
row_21	MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	4545	0.28502652049064636	-0.1829948	No	
row_22	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	4936	0.24680884182453156	-0.20548154	No	
row_23	KIF20B	kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]	5211	0.22091282904148102	-0.22081697	No	
row_24	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	5246	0.2180146425962448	-0.22086279	No	
row_25	ORC5	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]	5283	0.21464760601520538	-0.22106907	No	
row_26	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	5300	0.21310466527938843	-0.22001389	No	
row_27	YTHDC1	YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]	5389	0.20583076775074005	-0.22362493	No	
row_28	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	5483	0.19741873443126678	-0.22763707	No	
row_29	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	5736	0.17575430870056152	-0.24200836	No	
row_30	WRN	WRN RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:12791]	5784	0.17188803851604462	-0.24333332	No	
row_31	SLC12A2	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]	5828	0.16831074655056	-0.24443784	No	
row_32	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	5863	0.16537296772003174	-0.24499658	No	
row_33	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	5999	0.15489870309829712	-0.25210363	No	
row_34	LBR	lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]	6023	0.15307216346263885	-0.25208014	No	
row_35	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	6419	0.11704014241695404	-0.27615038	No	
row_36	DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	6420	0.11667018383741379	-0.27501363	No	
row_37	SMC1A	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	6653	0.0964985340833664	-0.28888065	No	
row_38	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	6711	0.09028316289186478	-0.29163897	No	
row_39	KATNA1	katanin catalytic subunit A1 [Source:HGNC Symbol;Acc:HGNC:6216]	6822	0.08126713335514069	-0.29786783	No	
