NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	35	2.1389899253845215	0.017507935	No	
row_1	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	214	1.1788614988327026	0.017026195	No	
row_2	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	229	1.1626262664794922	0.026863143	No	
row_3	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	254	1.1226922273635864	0.03569319	No	
row_4	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	331	1.0356533527374268	0.04040061	No	
row_5	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	336	1.0330833196640015	0.049680248	No	
row_6	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	352	1.0166888236999512	0.058106415	No	
row_7	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	628	0.8477979302406311	0.04837733	No	
row_8	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	670	0.8278117179870605	0.05340059	No	
row_9	SPRY4	sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533]	729	0.8025751113891602	0.057105772	No	
row_10	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	861	0.7508966326713562	0.055674206	No	
row_11	SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	981	0.7203044295310974	0.054726277	No	
row_12	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	1161	0.6702157258987427	0.049486097	No	
row_13	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	1339	0.6319106817245483	0.04402004	No	
row_14	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1350	0.6301367282867432	0.049197644	No	
row_15	PLAGL1	PLAG1 like zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:9046]	1483	0.6077925562858582	0.04638145	No	
row_16	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:3356]	1813	0.5562121272087097	0.030514184	No	
row_17	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1942	0.5411670207977295	0.027338393	No	
row_18	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	2028	0.5300439596176147	0.026804736	No	
row_19	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	2141	0.5138109922409058	0.02439778	No	
row_20	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:28739]	2423	0.47909244894981384	0.010882689	No	
row_21	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2467	0.4736141264438629	0.012509171	No	
row_22	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	2556	0.4643116295337677	0.011177332	No	
row_23	CAPN3	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	2666	0.45187798142433167	0.008390253	No	
row_24	IKZF4	IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]	3224	0.4039706587791443	-0.023435952	No	
