NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	106	1.4733591079711914	0.0050516888	No	
row_1	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	131	1.3551087379455566	0.0143876495	No	
row_2	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	291	1.069485068321228	0.01281838	No	
row_3	NPFFR2	neuropeptide FF receptor 2 [Source:HGNC Symbol;Acc:HGNC:4525]	420	0.9663805365562439	0.012400428	No	
row_4	FFAR2	free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]	588	0.8676518201828003	0.008702036	No	
row_5	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	773	0.7848109602928162	0.0032544862	No	
row_6	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	1141	0.6764086484909058	-0.014740029	No	
row_7	BEST1	bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703]	1208	0.659515380859375	-0.01366257	No	
row_8	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	1237	0.6543324589729309	-0.010201815	No	
row_9	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	1837	0.5544072389602661	-0.04397915	No	
row_10	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1898	0.5472327470779419	-0.04341928	No	
row_11	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1965	0.5383406281471252	-0.043313596	No	
row_12	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	2015	0.531482458114624	-0.042178106	No	
row_13	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2467	0.4736141264438629	-0.067159176	No	
row_14	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	2534	0.46695655584335327	-0.06762596	No	
row_15	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	2664	0.45228317379951477	-0.07223059	No	
row_16	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	2682	0.4510968327522278	-0.069697775	No	
row_17	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	2752	0.4451453387737274	-0.070530914	No	
row_18	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2797	0.44155943393707275	-0.069797516	No	
row_19	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]	3124	0.4127642810344696	-0.087290056	No	
row_20	SCN1B	sodium voltage-gated channel beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:10586]	3181	0.40739861130714417	-0.08759636	No	
row_21	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	3245	0.4024316370487213	-0.08838917	No	
row_22	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	3516	0.37812212109565735	-0.10258605	No	
row_23	LTA	lymphotoxin alpha [Source:HGNC Symbol;Acc:HGNC:6709]	3587	0.37132909893989563	-0.104074985	No	
row_24	TACR1	tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526]	3656	0.3667171001434326	-0.10547328	No	
row_25	KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6286]	3877	0.34695589542388916	-0.1167295	No	
row_26	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	3999	0.3350676894187927	-0.121763654	No	
row_27	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	4038	0.33221131563186646	-0.121524304	No	
row_28	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	4155	0.3213271498680115	-0.1263496	No	
row_29	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]	4191	0.31803321838378906	-0.12603252	No	
row_30	SELENOS	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	4248	0.3120900094509125	-0.12710315	No	
row_31	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	4451	0.2929878830909729	-0.13764355	No	
row_32	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	4500	0.28835198283195496	-0.13839406	No	
row_33	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	4743	0.26483577489852905	-0.15171272	No	
row_34	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	4914	0.24845874309539795	-0.16056824	No	
row_35	NDP	norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]	4916	0.24828830361366272	-0.15864088	No	
row_36	SLAMF1	signaling lymphocytic activation molecule family member 1 [Source:HGNC Symbol;Acc:HGNC:10903]	5109	0.23155920207500458	-0.16903579	No	
row_37	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	5198	0.22236627340316772	-0.17286797	No	
row_38	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	5210	0.22097982466220856	-0.17179772	No	
row_39	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	5371	0.20748040080070496	-0.18034375	No	
row_40	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	5502	0.19544167816638947	-0.18707196	No	
row_41	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	5518	0.19410055875778198	-0.18647254	No	
row_42	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	5551	0.1916060745716095	-0.18697791	No	
row_43	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	5671	0.1814848780632019	-0.19311611	No	
row_44	SELE	selectin E [Source:HGNC Symbol;Acc:HGNC:10718]	6071	0.14857688546180725	-0.21738563	No	
row_45	PCDH7	protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]	6274	0.12940548360347748	-0.2292379	No	
row_46	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	6940	0.07159934192895889	-0.27109876	No	
row_47	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	7105	0.057571280747652054	-0.28110227	No	
row_48	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	7320	0.039461445063352585	-0.29444158	No	
row_49	IRAK2	interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	7351	0.036709871143102646	-0.29606155	No	
row_50	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	7454	0.026446018368005753	-0.3023583	No	
row_51	SLC4A4	solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]	7614	0.014633575454354286	-0.31238708	No	
row_52	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]	7683	0.008399639278650284	-0.31665894	No	
row_53	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	7760	0.002051698509603739	-0.32149222	No	
row_54	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	7815	-0.00148441968485713	-0.32492617	No	
row_55	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	8003	-0.015403211116790771	-0.33673552	No	
row_56	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	8043	-0.018841639161109924	-0.33907306	No	
row_57	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	8110	-0.023432834073901176	-0.34309676	No	
