NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	106	1.4733591079711914	0.00545478	No	
row_1	APOL6	apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]	127	1.379839539527893	0.0156227965	No	
row_2	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	131	1.3551087379455566	0.026670707	No	
row_3	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	483	0.9168446063995361	0.011872741	No	
row_4	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	1339	0.6319106817245483	-0.037455965	No	
row_5	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	1363	0.6283396482467651	-0.033712424	No	
row_6	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]	1747	0.5663982629776001	-0.0534594	No	
row_7	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	1897	0.5472763180732727	-0.058430076	No	
row_8	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1965	0.5383406281471252	-0.058241263	No	
row_9	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	2015	0.531482458114624	-0.056960497	No	
row_10	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	2344	0.48878028988838196	-0.0738409	No	
row_11	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	2673	0.45156267285346985	-0.091029994	No	
row_12	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	2848	0.4373696446418762	-0.09850785	No	
row_13	EIF4E3	eukaryotic translation initiation factor 4E family member 3 [Source:HGNC Symbol;Acc:HGNC:31837]	2955	0.42703744769096375	-0.10173135	No	
row_14	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	3110	0.41404175758361816	-0.10812621	No	
row_15	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	3301	0.3982945382595062	-0.11694935	No	
row_16	NCOA3	nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:HGNC:7670]	3457	0.38297414779663086	-0.123665705	No	
row_17	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	3599	0.370758056640625	-0.12958984	No	
row_18	XCL1	X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10645]	3682	0.3639207184314728	-0.13180505	No	
row_19	BANK1	B cell scaffold protein with ankyrin repeats 1 [Source:HGNC Symbol;Acc:HGNC:18233]	3796	0.35353267192840576	-0.13608497	No	
row_20	METTL7B	methyltransferase like 7B [Source:HGNC Symbol;Acc:HGNC:28276]	3806	0.35255932807922363	-0.13373524	No	
row_21	IDO1	indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]	4057	0.33021801710128784	-0.14695247	No	
row_22	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	4451	0.2929878830909729	-0.16960537	No	
row_23	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	4885	0.25101587176322937	-0.19515938	No	
row_24	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	5162	0.2259938269853592	-0.21090049	No	
