NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABAT	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	89	1.52792227268219	0.009146509	No	
row_1	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	270	1.097862958908081	0.0083098365	No	
row_2	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	600	0.8621033430099487	-0.0043271156	No	
row_3	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	629	0.8475531935691833	0.0021107618	No	
row_4	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]	741	0.7964158654212952	0.0027535826	No	
row_5	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	760	0.7889676690101624	0.0092613	No	
row_6	COQ8A	coenzyme Q8A [Source:HGNC Symbol;Acc:HGNC:16812]	800	0.7746145725250244	0.014289069	No	
row_7	FGF13	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]	1717	0.5698824524879456	-0.03865832	No	
row_8	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	1748	0.5663626790046692	-0.03507705	No	
row_9	CYFIP2	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	1763	0.5647624135017395	-0.03048986	No	
row_10	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	1821	0.5553736090660095	-0.028738935	No	
row_11	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	1861	0.5527402758598328	-0.025864432	No	
row_12	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1898	0.5472327470779419	-0.022851858	No	
row_13	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	2054	0.5261658430099487	-0.027640775	No	
row_14	CCNK	cyclin K [Source:HGNC Symbol;Acc:HGNC:1596]	2109	0.5198663473129272	-0.026042921	No	
row_15	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	2191	0.5062950849533081	-0.026300473	No	
row_16	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	2461	0.47425413131713867	-0.038871024	No	
row_17	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2467	0.4736141264438629	-0.03459385	No	
row_18	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2557	0.46427449584007263	-0.035769932	No	
row_19	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	2597	0.46015259623527527	-0.033793986	No	
row_20	HEXIM1	HEXIM P-TEFb complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24953]	2625	0.45544353127479553	-0.03109765	No	
row_21	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	2887	0.43370652198791504	-0.043550987	No	
row_22	CGRRF1	cell growth regulator with ring finger domain 1 [Source:HGNC Symbol;Acc:HGNC:15528]	2968	0.4258391559123993	-0.04452551	No	
row_23	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	3055	0.41872334480285645	-0.04595214	No	
row_24	GLS2	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	3071	0.4179016351699829	-0.04285406	No	
row_25	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	3213	0.4053457975387573	-0.047921754	No	
row_26	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	3245	0.4024316370487213	-0.045995258	No	
row_27	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	3252	0.40219759941101074	-0.042475015	No	
row_28	CCNG1	cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]	3264	0.4015042781829834	-0.039280705	No	
row_29	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	3369	0.39160627126693726	-0.042119633	No	
row_30	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	3378	0.3909255862236023	-0.038836468	No	
row_31	BLCAP	BLCAP apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:1055]	3410	0.3882315754890442	-0.03704778	No	
row_32	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	3672	0.36510521173477173	-0.050166883	No	
row_33	ELP1	elongator complex protein 1 [Source:HGNC Symbol;Acc:HGNC:5959]	4021	0.33344751596450806	-0.069147356	No	
row_34	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	4070	0.32941460609436035	-0.06901477	No	
row_35	POLH	DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]	4083	0.3282037079334259	-0.06659568	No	
row_36	STEAP3	STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]	4143	0.32253995537757874	-0.067232065	No	
row_37	IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]	4173	0.3203006982803345	-0.06597496	No	
row_38	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	4469	0.29114025831222534	-0.08198246	No	
row_39	POM121	POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]	4501	0.28834089636802673	-0.081163205	No	
row_40	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	4743	0.26483577489852905	-0.0939786	No	
row_41	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	4897	0.24974043667316437	-0.10132252	No	
