NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	18	2.5965261459350586	0.054084815	Yes	
row_1	FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	211	1.1840603351593018	0.067090206	Yes	
row_2	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	294	1.0660936832427979	0.08456399	Yes	
row_3	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	307	1.058688759803772	0.1063205	Yes	
row_4	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	424	0.9632971882820129	0.11945119	Yes	
row_5	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	513	0.8994699716567993	0.1330004	Yes	
row_6	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	638	0.8427025675773621	0.14305866	Yes	
row_7	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	690	0.8198915719985962	0.15726227	Yes	
row_8	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	789	0.7786594033241272	0.16760759	Yes	
row_9	SLC25A19	solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]	865	0.7502020597457886	0.17880657	Yes	
row_10	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	1371	0.6275060772895813	0.16012026	Yes	
row_11	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	1429	0.617629885673523	0.16964129	Yes	
row_12	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	1464	0.6106415390968323	0.1804726	Yes	
