NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	11	2.9515323638916016	0.054455332	Yes	
row_1	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	23	2.3794403076171875	0.09822034	Yes	
row_2	ACRBP	acrosin binding protein [Source:HGNC Symbol;Acc:HGNC:17195]	155	1.2878828048706055	0.11397243	Yes	
row_3	PACRG	parkin coregulated [Source:HGNC Symbol;Acc:HGNC:19152]	206	1.189156174659729	0.13302025	Yes	
row_4	SNAP91	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	303	1.0608116388320923	0.14675045	Yes	
row_5	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	386	0.9863390922546387	0.15997751	Yes	
row_6	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	453	0.9392633438110352	0.17334032	Yes	
row_7	TLE4	TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]	473	0.922964870929718	0.18938138	Yes	
row_8	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	566	0.8770681023597717	0.19993192	Yes	
row_9	NF2	neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]	660	0.8337411880493164	0.20960937	Yes	
row_10	ART3	ADP-ribosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:725]	1214	0.6580595374107361	0.18681061	Yes	
row_11	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	1329	0.6355434656143188	0.19145173	Yes	
row_12	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	1339	0.6319106817245483	0.20268868	Yes	
row_13	SLC2A5	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	1585	0.5890798568725586	0.19814779	Yes	
row_14	CCT6B	chaperonin containing TCP1 subunit 6B [Source:HGNC Symbol;Acc:HGNC:1621]	1654	0.5785075426101685	0.20464246	Yes	
row_15	HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	1912	0.5452450513839722	0.1985209	Yes	
row_16	IP6K1	inositol hexakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18360]	2024	0.5305813550949097	0.20139106	Yes	
row_17	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	2161	0.5109112858772278	0.20230705	Yes	
row_18	NPHP1	nephrocystin 1 [Source:HGNC Symbol;Acc:HGNC:7905]	2255	0.49775952100753784	0.20570622	Yes	
row_19	RAD17	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	2417	0.4799087643623352	0.2044563	Yes	
row_20	PCSK4	proprotein convertase subtilisin/kexin type 4 [Source:HGNC Symbol;Acc:HGNC:8746]	2545	0.46565747261047363	0.20509784	Yes	
row_21	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	2551	0.46511349081993103	0.2134718	Yes	
row_22	MLF1	myeloid leukemia factor 1 [Source:HGNC Symbol;Acc:HGNC:7125]	2766	0.4438267946243286	0.20818405	Yes	
row_23	CLPB	caseinolytic mitochondrial matrix peptidase chaperone subunit B [Source:HGNC Symbol;Acc:HGNC:30664]	2788	0.44202253222465515	0.2151111	Yes	
row_24	PGK2	phosphoglycerate kinase 2 [Source:HGNC Symbol;Acc:HGNC:8898]	2852	0.43642592430114746	0.2192681	Yes	
row_25	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	2889	0.4335387349128723	0.22508468	Yes	
row_26	ZC2HC1C	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	2976	0.4249141812324524	0.22756688	Yes	
row_27	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	3083	0.4162585437297821	0.22861809	Yes	
row_28	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	3280	0.4004669785499573	0.22366244	No	
row_29	NEFH	neurofilament heavy [Source:HGNC Symbol;Acc:HGNC:7737]	3700	0.36220094561576843	0.2038393	No	
row_30	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	3706	0.3618665933609009	0.21028396	No	
row_31	ZPBP	zona pellucida binding protein [Source:HGNC Symbol;Acc:HGNC:15662]	3799	0.35322949290275574	0.21104586	No	
row_32	MAST2	microtubule associated serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:19035]	3871	0.3474443554878235	0.21303241	No	
