NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	118	1.421005368232727	0.016382195	Yes	
row_1	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	120	1.4063360691070557	0.03996053	Yes	
row_2	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9 [Source:HGNC Symbol;Acc:HGNC:14561]	267	1.1038600206375122	0.049230017	Yes	
row_3	DBP	D-box binding PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:2697]	410	0.9735496640205383	0.056563303	Yes	
row_4	NR1D2	nuclear receptor subfamily 1 group D member 2 [Source:HGNC Symbol;Acc:HGNC:7963]	474	0.9226102232933044	0.068065695	Yes	
row_5	MMP16	matrix metallopeptidase 16 [Source:HGNC Symbol;Acc:HGNC:7162]	557	0.8791695833206177	0.07762915	Yes	
row_6	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	647	0.8396666049957275	0.086083226	Yes	
row_7	SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	651	0.838512659072876	0.09998865	Yes	
row_8	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	663	0.8328412175178528	0.11328981	Yes	
row_9	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]	951	0.729475736618042	0.10729605	Yes	
row_10	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	1006	0.7109293341636658	0.11581238	Yes	
row_11	DMAC2L	distal membrane arm assembly complex 2 like [Source:HGNC Symbol;Acc:HGNC:18799]	1202	0.6609262228012085	0.11451865	Yes	
row_12	CAP2	cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039]	1342	0.6312417387962341	0.11628823	Yes	
row_13	PRDM2	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	1431	0.6170353889465332	0.12106327	Yes	
row_14	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]	1434	0.6161430478096008	0.13129404	Yes	
row_15	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	1442	0.6147401928901672	0.14118315	Yes	
row_16	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	1622	0.5834367871284485	0.13960455	Yes	
row_17	SYNE1	spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089]	1711	0.5704654455184937	0.1435967	Yes	
