NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	191	-0.6010892	-2.5600967	0.0	0.0	0.0	2670	tags=49%, list=17%, signal=58%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	94	-0.6125599	-2.4058049	0.0	0.0	0.0	3511	tags=54%, list=22%, signal=69%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	192	-0.5518942	-2.3809538	0.0	0.0	0.0	3628	tags=53%, list=23%, signal=67%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	195	-0.544942	-2.3652732	0.0	0.0	0.0	3320	tags=48%, list=21%, signal=60%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.5401598	-2.361135	0.0	0.0	0.0	4187	tags=49%, list=26%, signal=66%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	-0.5351672	-2.2990055	0.0	0.0	0.0	2544	tags=36%, list=16%, signal=42%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	184	-0.525567	-2.2872598	0.0	0.0	0.0	2852	tags=47%, list=18%, signal=56%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	84	-0.5586762	-2.19485	0.0	0.0	0.0	2748	tags=51%, list=17%, signal=62%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	125	-0.52127504	-2.1237159	0.0	0.0	0.0	2380	tags=38%, list=15%, signal=45%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	198	-0.4688959	-2.0223098	0.0	0.0	0.0	2569	tags=34%, list=16%, signal=40%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	199	-0.46416745	-1.988022	0.0	8.869179E-5	0.001	2666	tags=34%, list=17%, signal=41%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	195	-0.447511	-1.922678	0.0	1.6463413E-4	0.002	2503	tags=37%, list=16%, signal=43%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	197	-0.44161642	-1.907296	0.0	2.3294165E-4	0.003	2920	tags=38%, list=18%, signal=46%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	160	-0.45132852	-1.90072	0.0	2.1630296E-4	0.003	2784	tags=34%, list=18%, signal=41%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.42368105	-1.835642	0.0	3.4062154E-4	0.005	4457	tags=41%, list=28%, signal=56%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	193	-0.3950907	-1.70394	0.0	0.002391387	0.038	3208	tags=36%, list=20%, signal=45%	
