NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	0.5011518	2.5444353	0.0	0.0	0.0	3552	tags=51%, list=22%, signal=65%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	197	0.46095	2.3207235	0.0	0.0	0.0	3396	tags=42%, list=21%, signal=52%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	150	0.46867523	2.3122113	0.0	0.0	0.0	1720	tags=35%, list=11%, signal=39%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	31	0.6144309	2.2175095	0.0	0.0	0.0	2132	tags=42%, list=13%, signal=48%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	101	0.3501665	1.6019037	0.0	0.0071117827	0.041	3369	tags=42%, list=21%, signal=52%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	200	0.30049148	1.5524017	0.0	0.0114640705	0.078	4243	tags=48%, list=27%, signal=65%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	98	0.23146802	1.0678679	0.3148148	0.4192564	0.967	2856	tags=27%, list=18%, signal=32%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	106	0.22861809	1.0545622	0.34893617	0.40133548	0.979	3083	tags=26%, list=19%, signal=33%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	0.2844649	1.0357661	0.39274925	0.3994678	0.986	760	tags=14%, list=5%, signal=15%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	143	0.18306476	0.8906695	0.7876106	0.74448067	1.0	2105	tags=17%, list=13%, signal=20%	
