NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	191	1.603127360343933	0.004329429	No	
row_1	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	218	1.54320228099823	0.018574934	No	
row_2	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	645	1.1142981052398682	0.002863581	No	
row_3	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	1354	0.8346095681190491	-0.033733513	No	
row_4	ATP1B3	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]	1507	0.7900124788284302	-0.03529485	No	
row_5	NMT1	N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]	1646	0.7536225318908691	-0.03633748	No	
row_6	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	1689	0.7444513440132141	-0.03134593	No	
row_7	CYP4B1	cytochrome P450 family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2644]	1881	0.6923938989639282	-0.03640318	No	
row_8	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	1952	0.6765655875205994	-0.03389885	No	
row_9	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	2084	0.6532273292541504	-0.03552934	No	
row_10	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	2242	0.6194531321525574	-0.03916779	No	
row_11	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	2357	0.598919689655304	-0.040272724	No	
row_12	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	3308	0.45467251539230347	-0.09623516	No	
row_13	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	3369	0.4473188817501068	-0.09545521	No	
row_14	CD151	CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]	3502	0.42759448289871216	-0.09947508	No	
row_15	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	3696	0.3997674584388733	-0.10767603	No	
row_16	CMPK1	cytidine/uridine monophosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18170]	3763	0.39072397351264954	-0.10786243	No	
row_17	RETN	resistin [Source:HGNC Symbol;Acc:HGNC:20389]	3829	0.3822191059589386	-0.10807264	No	
row_18	JAGN1	jagunal homolog 1 [Source:HGNC Symbol;Acc:HGNC:26926]	4260	0.3322235941886902	-0.13209999	No	
row_19	CD302	CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]	4441	0.31417137384414673	-0.14035323	No	
row_20	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	4493	0.3092462122440338	-0.14042178	No	
row_21	SNCG	synuclein gamma [Source:HGNC Symbol;Acc:HGNC:11141]	4684	0.29108503460884094	-0.14955138	No	
row_22	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	5003	0.2608776092529297	-0.16716391	No	
row_23	LPCAT3	lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]	5174	0.24394206702709198	-0.17550257	No	
row_24	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	5216	0.24080610275268555	-0.17563812	No	
row_25	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	5371	0.2265480011701584	-0.18313462	No	
