NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	4	3.4889984130859375	0.026475558	Yes	
row_1	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	33	2.292207956314087	0.04225057	Yes	
row_2	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	41	2.205073118209839	0.058697972	Yes	
row_3	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	95	1.8975580930709839	0.06985419	Yes	
row_4	CCL22	C-C motif chemokine ligand 22 [Source:HGNC Symbol;Acc:HGNC:10621]	129	1.779744029045105	0.08138395	Yes	
row_5	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	130	1.7757253646850586	0.094988585	Yes	
row_6	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	143	1.7227436304092407	0.10742161	Yes	
row_7	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	158	1.6901671886444092	0.11947743	Yes	
row_8	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	166	1.6641367673873901	0.13178048	Yes	
row_9	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	176	1.6358861923217773	0.14373946	Yes	
row_10	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	248	1.5085504055023193	0.15076678	Yes	
row_11	CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	265	1.4930064678192139	0.16118445	Yes	
row_12	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	267	1.4918571710586548	0.17255042	Yes	
row_13	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	297	1.4370976686477661	0.18171024	Yes	
row_14	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	303	1.4322527647018433	0.19236434	Yes	
row_15	IL27RA	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]	328	1.4019644260406494	0.20157403	Yes	
row_16	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	337	1.3956931829452515	0.2117566	Yes	
row_17	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	340	1.390852451324463	0.22228493	Yes	
row_18	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	343	1.389225959777832	0.2328008	Yes	
row_19	FCGR2B	Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	371	1.3561882972717285	0.24146836	Yes	
