NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	134	1.7601006031036377	0.07932032	Yes	
row_1	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	175	1.6365739107131958	0.15841849	Yes	
row_2	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	176	1.6358861923217773	0.24000953	Yes	
row_3	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	217	1.544370412826538	0.314509	Yes	
row_4	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	512	1.2243105173110962	0.35699773	Yes	
row_5	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	864	0.992641806602478	0.38433057	Yes	
row_6	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	1384	0.8279188871383667	0.39283365	Yes	
row_7	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	1590	0.7689058780670166	0.4182317	Yes	
row_8	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	2155	0.6401224136352539	0.4145252	Yes	
row_9	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2275	0.6126924157142639	0.4375654	Yes	
row_10	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	2305	0.6075104475021362	0.46603322	Yes	
row_11	LRPAP1	LDL receptor related protein associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6701]	2441	0.5851972699165344	0.48669118	Yes	
row_12	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	3265	0.4599747359752655	0.4576363	No	
row_13	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	3632	0.40842553973197937	0.45488325	No	
row_14	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	4639	0.29525816440582275	0.40605122	No	
row_15	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	4749	0.2856537997722626	0.4134119	No	
row_16	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]	6425	0.13357093930244446	0.3142487	No	
row_17	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	6716	0.11091748625040054	0.30145884	No	
row_18	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	7197	0.07087352871894836	0.2746677	No	
row_19	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	7314	0.0610782690346241	0.27038524	No	
row_20	APOH	apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616]	7829	0.017640046775341034	0.23879096	No	
row_21	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]	9130	-0.08883070945739746	0.16108853	No	
row_22	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	9152	-0.09082585573196411	0.16429177	No	
row_23	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	9713	-0.14019131660461426	0.13590358	No	
row_24	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	10159	-0.1788940727710724	0.116711326	No	
row_25	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	10251	-0.1860189437866211	0.120239854	No	
row_26	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	11303	-0.28370586037635803	0.067988575	No	
row_27	KCNJ8	potassium inwardly rectifying channel subfamily J member 8 [Source:HGNC Symbol;Acc:HGNC:6269]	11595	-0.31064367294311523	0.06509702	No	
row_28	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	12494	-0.3917295038700104	0.027899921	No	
row_29	PRG2	proteoglycan 2, pro eosinophil major basic protein [Source:HGNC Symbol;Acc:HGNC:9362]	12770	-0.41521018743515015	0.031234564	No	
row_30	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	13267	-0.46017614006996155	0.02284932	No	
row_31	SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	14133	-0.5683308243751526	-0.0034547448	No	
row_32	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	14847	-0.7089501023292542	-0.013142082	No	
row_33	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	15010	-0.754941463470459	0.014276159	No	
row_34	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	15110	-0.7917546629905701	0.047510777	No	
