NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	80	1.9433327913284302	0.017740643	Yes	
row_1	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	127	1.7883890867233276	0.035825804	Yes	
row_2	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	142	1.724692702293396	0.055200323	Yes	
row_3	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	144	1.7215344905853271	0.0753656	Yes	
row_4	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	159	1.68844735622406	0.09431422	Yes	
row_5	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	176	1.6358861923217773	0.112517856	Yes	
row_6	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	208	1.5626124143600464	0.12890525	Yes	
row_7	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	215	1.5485597848892212	0.14671957	Yes	
row_8	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	237	1.5263909101486206	0.16331816	Yes	
row_9	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	316	1.4148857593536377	0.17497663	Yes	
row_10	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	337	1.3956931829452515	0.19010314	Yes	
row_11	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	350	1.3833247423171997	0.20559376	Yes	
row_12	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	435	1.286769151687622	0.21536471	Yes	
row_13	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	477	1.2543319463729858	0.22749281	Yes	
row_14	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	499	1.233319640159607	0.24064766	Yes	
row_15	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	504	1.2305912971496582	0.25485304	Yes	
row_16	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	667	1.0967098474502563	0.2574235	Yes	
row_17	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	678	1.0890549421310425	0.26958364	Yes	
row_18	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	764	1.0415852069854736	0.27640986	Yes	
row_19	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	803	1.0232936143875122	0.2860142	Yes	
row_20	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	823	1.0129146575927734	0.29670653	Yes	
row_21	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	861	0.9934144020080566	0.30602345	Yes	
row_22	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	886	0.9829619526863098	0.3160454	Yes	
row_23	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	903	0.9779159426689148	0.32651752	Yes	
row_24	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	906	0.9773063659667969	0.33787405	Yes	
row_25	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	994	0.9349867701530457	0.3433203	Yes	
row_26	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	1241	0.8632009625434875	0.33779758	Yes	
row_27	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	1254	0.8603639602661133	0.34714314	Yes	
row_28	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	1296	0.8480686545372009	0.35449743	Yes	
row_29	ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	1322	0.8418245315551758	0.3627973	Yes	
row_30	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1363	0.8328642249107361	0.3700366	Yes	
row_31	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	1384	0.8279188871383667	0.37849146	Yes	
row_32	RNASEL	ribonuclease L [Source:HGNC Symbol;Acc:HGNC:10050]	1538	0.7818447947502136	0.3779352	Yes	
row_33	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	1623	0.7584052681922913	0.38149756	Yes	
row_34	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	1786	0.7142626047134399	0.37957403	Yes	
row_35	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	1823	0.7070624232292175	0.38558984	Yes	
row_36	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	1946	0.6776690483093262	0.3857836	Yes	
row_37	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	2017	0.6663371324539185	0.3891557	Yes	
row_38	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	2042	0.6600795388221741	0.3953836	Yes	
row_39	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	2051	0.6576581597328186	0.402602	Yes	
row_40	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	2155	0.6401224136352539	0.4035645	Yes	
