NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	5	3.0579583644866943	0.053109724	No	
row_1	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	81	1.9326908588409424	0.08211834	No	
row_2	CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	417	1.3048566579818726	0.08366242	No	
row_3	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	677	1.089404821395874	0.08626397	No	
row_4	SLC23A1	solute carrier family 23 member 1 [Source:HGNC Symbol;Acc:HGNC:10974]	839	1.0047495365142822	0.09360395	No	
row_5	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	873	0.9894079566001892	0.10879669	No	
row_6	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	1353	0.8346249461174011	0.09298925	No	
row_7	SOAT2	sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178]	1547	0.7795208096504211	0.094363965	No	
row_8	CYP8B1	cytochrome P450 family 8 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2653]	1996	0.6702457070350647	0.07765134	No	
row_9	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	2030	0.6631341576576233	0.08714361	No	
row_10	PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	2296	0.6088972091674805	0.08096933	No	
row_11	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	2380	0.594869077205658	0.08609673	No	
row_12	AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	2576	0.5629928112030029	0.083561495	No	
row_13	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	2673	0.5470535159111023	0.08702871	No	
row_14	GC	GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]	2747	0.5334552526473999	0.09171755	No	
