NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MASP2	mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]	12	2.787518262863159	0.033684436	Yes	
row_1	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	23	2.436483860015869	0.06315803	Yes	
row_2	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	83	1.9244824647903442	0.083191045	Yes	
row_3	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	103	1.8709737062454224	0.10510445	Yes	
row_4	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	108	1.8432917594909668	0.12762886	Yes	
row_5	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	142	1.724692702293396	0.14684503	Yes	
row_6	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	159	1.68844735622406	0.16669346	Yes	
row_7	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	176	1.6358861923217773	0.18589239	Yes	
row_8	CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	206	1.5646549463272095	0.20338503	Yes	
row_9	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	217	1.544370412826538	0.22183427	Yes	
row_10	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	253	1.5068891048431396	0.23823182	Yes	
row_11	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	279	1.476273536682129	0.25488645	Yes	
row_12	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	290	1.4527651071548462	0.27220368	Yes	
row_13	F2RL2	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]	344	1.387792944908142	0.28598577	Yes	
row_14	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	425	1.2961894273757935	0.29692027	Yes	
row_15	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	452	1.269425868988037	0.31095523	Yes	
row_16	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	525	1.2132787704467773	0.32137346	Yes	
row_17	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	645	1.1142981052398682	0.32758215	Yes	
row_18	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	656	1.106646180152893	0.34062222	Yes	
