NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	9	2.9428963661193848	0.021904375	Yes	
row_1	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	23	2.436483860015869	0.039685562	Yes	
row_2	MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	31	2.338306427001953	0.057099525	Yes	
row_3	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	80	1.9433327913284302	0.068881646	Yes	
row_4	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	83	1.9244824647903442	0.08345364	Yes	
row_5	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	103	1.8709737062454224	0.09653267	Yes	
row_6	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	111	1.835981011390686	0.11010978	Yes	
row_7	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	158	1.6901671886444092	0.12008573	Yes	
row_8	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	159	1.68844735622406	0.1329824	Yes	
row_9	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	162	1.6710798740386963	0.14561887	Yes	
row_10	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	176	1.6358861923217773	0.15728495	Yes	
row_11	CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	206	1.5646549463272095	0.16738646	Yes	
row_12	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	212	1.560821294784546	0.17898941	Yes	
row_13	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	217	1.544370412826538	0.19053048	Yes	
row_14	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	286	1.4597152471542358	0.19734304	Yes	
row_15	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	290	1.4527651071548462	0.2082482	Yes	
row_16	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	297	1.4370976686477661	0.21884234	Yes	
row_17	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	358	1.3760844469070435	0.22552635	Yes	
row_18	GNGT2	G protein subunit gamma transducin 2 [Source:HGNC Symbol;Acc:HGNC:4412]	378	1.3443418741226196	0.23458287	Yes	
row_19	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	399	1.3237509727478027	0.24341834	Yes	
row_20	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	421	1.3003767728805542	0.25201148	Yes	
row_21	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	437	1.2853695154190063	0.2608727	Yes	
row_22	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	438	1.285093069076538	0.27068847	Yes	
row_23	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	442	1.2819041013717651	0.28028855	Yes	
row_24	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	452	1.269425868988037	0.28941065	Yes	
row_25	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	477	1.2543319463729858	0.29746076	Yes	
row_26	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	504	1.2305912971496582	0.30520198	Yes	
row_27	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	521	1.2181179523468018	0.3134857	Yes	
row_28	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	525	1.2132787704467773	0.32256162	Yes	
row_29	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	572	1.1691606044769287	0.32855803	Yes	
row_30	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	625	1.1266486644744873	0.33384705	Yes	
row_31	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	645	1.1142981052398682	0.34114647	Yes	
row_32	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	656	1.106646180152893	0.34896144	Yes	
row_33	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	701	1.0738080739974976	0.35435706	Yes	
row_34	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	751	1.0462781190872192	0.35922354	Yes	
row_35	CPM	carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]	759	1.0436137914657593	0.3667484	Yes	
row_36	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	815	1.0156830549240112	0.3709985	Yes	
row_37	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	816	1.01554536819458	0.37875542	Yes	
