NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	3	3.549755096435547	0.030038888	Yes	
row_1	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	15	2.6865766048431396	0.05221623	Yes	
row_2	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	94	1.8990988731384277	0.06341132	Yes	
row_3	GREM1	gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]	105	1.85165536403656	0.07854214	Yes	
row_4	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	134	1.7601006031036377	0.091744505	Yes	
row_5	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	143	1.7227436304092407	0.10590514	Yes	
row_6	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	176	1.6358861923217773	0.11779439	Yes	
row_7	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	212	1.560821294784546	0.12885292	Yes	
row_8	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	279	1.476273536682129	0.13721298	Yes	
row_9	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	286	1.4597152471542358	0.14926125	Yes	
row_10	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	415	1.306152582168579	0.15221569	Yes	
row_11	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	425	1.2961894273757935	0.16267988	Yes	
row_12	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	479	1.2518894672393799	0.16995873	Yes	
row_13	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	529	1.2071495056152344	0.17711183	Yes	
