NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	97	1.8931978940963745	0.01178095	Yes	
row_1	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	144	1.7215344905853271	0.02518702	Yes	
row_2	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	193	1.594988226890564	0.037264217	Yes	
row_3	LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	223	1.5391557216644287	0.050023936	Yes	
row_4	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	234	1.5279884338378906	0.06389016	Yes	
row_5	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	275	1.4853445291519165	0.0754371	Yes	
row_6	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	283	1.4664177894592285	0.08891031	Yes	
row_7	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	318	1.4144517183303833	0.1001672	Yes	
row_8	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	349	1.3834844827651978	0.1113854	Yes	
row_9	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	387	1.3342704772949219	0.121689714	Yes	
row_10	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	516	1.2216843366622925	0.12511805	Yes	
row_11	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	521	1.2181179523468018	0.13642573	Yes	
row_12	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	539	1.2003300189971924	0.14673495	Yes	
row_13	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	554	1.182806134223938	0.15706927	Yes	
row_14	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	605	1.1454912424087524	0.164752	Yes	
row_15	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	696	1.077329158782959	0.16923505	Yes	
row_16	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	776	1.0365720987319946	0.17403321	Yes	
row_17	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	815	1.0156830549240112	0.18124953	Yes	
row_18	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	818	1.015411376953125	0.19076066	Yes	
row_19	CLIC3	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]	832	1.008169174194336	0.19950107	Yes	
row_20	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	845	1.0016396045684814	0.2082433	Yes	
row_21	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	848	0.9995094537734985	0.21760349	Yes	
row_22	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	867	0.9922915101051331	0.22587408	Yes	
row_23	IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	871	0.9904020428657532	0.235084	Yes	
row_24	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	882	0.9850761294364929	0.24379665	Yes	
row_25	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	888	0.9818946719169617	0.25279817	Yes	
row_26	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	896	0.9799811244010925	0.2616539	Yes	
row_27	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	994	0.9349867701530457	0.26433906	Yes	
row_28	KLK10	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]	1060	0.9129526019096375	0.26885718	Yes	
row_29	STIL	STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]	1064	0.9123179316520691	0.27732587	Yes	
row_30	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1082	0.9079597592353821	0.28485978	Yes	
row_31	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	1103	0.90228670835495	0.29214838	Yes	
row_32	EMP2	epithelial membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3334]	1120	0.8990393280982971	0.29966143	Yes	
row_33	NXT1	nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913]	1151	0.8914913535118103	0.30620942	Yes	
row_34	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1179	0.8815886378288269	0.31285483	Yes	
row_35	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	1197	0.8759278059005737	0.32008466	Yes	
row_36	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	1296	0.8480686545372009	0.32188094	Yes	
row_37	KRT13	keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]	1351	0.8347012996673584	0.32635823	Yes	
row_38	TRIM29	tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]	1365	0.8321038484573364	0.33342734	Yes	
row_39	FRK	fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955]	1493	0.794717013835907	0.33286652	Yes	
row_40	KLK11	kallikrein related peptidase 11 [Source:HGNC Symbol;Acc:HGNC:6359]	1515	0.787410318851471	0.33900085	Yes	
row_41	KCNK5	potassium two pore domain channel subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:6280]	1659	0.7506990432739258	0.33700112	Yes	
row_42	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	1715	0.7335553765296936	0.3404545	Yes	
row_43	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	1746	0.7255695462226868	0.34542742	Yes	
row_44	SLC2A8	solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812]	1768	0.7198911309242249	0.35092083	Yes	
row_45	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	1878	0.6941981911659241	0.35055453	Yes	
row_46	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	1940	0.6790950894355774	0.35310802	Yes	
row_47	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	1962	0.6748387217521667	0.3581738	Yes	
row_48	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	2030	0.6631341576576233	0.36019287	Yes	
row_49	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	2051	0.6576581597328186	0.36515933	Yes	
row_50	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	2121	0.6462365984916687	0.3668904	Yes	
row_51	CHST8	carbohydrate sulfotransferase 8 [Source:HGNC Symbol;Acc:HGNC:15993]	2361	0.5982654094696045	0.35731736	Yes	
row_52	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	2381	0.5947848558425903	0.3617508	Yes	
row_53	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	2470	0.582426130771637	0.36166364	Yes	
row_54	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	2480	0.5805222392082214	0.3665999	Yes	
row_55	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	2548	0.568215012550354	0.36771798	Yes	
row_56	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	2569	0.564138650894165	0.37179673	Yes	
row_57	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	2586	0.5616205334663391	0.37610683	Yes	
row_58	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30425]	2587	0.561460018157959	0.38143647	Yes	
row_59	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	2602	0.5589168071746826	0.38584855	Yes	
row_60	TPSAB1	tryptase alpha/beta 1 [Source:HGNC Symbol;Acc:HGNC:12019]	2739	0.5350131392478943	0.38224813	Yes	
row_61	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	2805	0.5254698395729065	0.38308808	Yes	
row_62	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	2847	0.5173119306564331	0.38538218	Yes	
row_63	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	2855	0.516402006149292	0.3898374	Yes	
row_64	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	3007	0.4961012303829193	0.38491037	Yes	
row_65	LLGL2	LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]	3083	0.4845017194747925	0.38472328	Yes	
row_66	FAM102A	family with sequence similarity 102 member A [Source:HGNC Symbol;Acc:HGNC:31419]	3118	0.4794258773326874	0.38710448	Yes	
row_67	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	3156	0.4738996624946594	0.38924176	Yes	
row_68	GALE	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	3170	0.4715927243232727	0.39288872	Yes	
row_69	SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	3206	0.4672064781188965	0.3950901	Yes	
row_70	NAB2	NGFI-A binding protein 2 [Source:HGNC Symbol;Acc:HGNC:7627]	3303	0.45543184876441956	0.3932869	No	
row_71	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	3424	0.43789365887641907	0.38978565	No	
row_72	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10867]	3521	0.4236763119697571	0.38768104	No	
row_73	RNASEH2A	ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]	3522	0.42364004254341125	0.3917024	No	
row_74	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	3577	0.4165188670158386	0.39221016	No	
