NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	81	1.9326908588409424	0.017787281	No	
row_1	IL4I1	interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]	194	1.5949440002441406	0.029592406	No	
row_2	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	233	1.5280438661575317	0.045312863	No	
row_3	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	398	1.3245517015457153	0.0505989	No	
row_4	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	521	1.2181179523468018	0.05729445	No	
row_5	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]	862	0.9929674863815308	0.04744346	No	
row_6	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	1103	0.90228670835495	0.04288019	No	
row_7	ERP29	endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]	1184	0.8799622654914856	0.048234567	No	
row_8	CBR3	carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]	1223	0.866638720035553	0.056103732	No	
row_9	ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	1295	0.8482229709625244	0.061654117	No	
row_10	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	1661	0.7506049275398254	0.047335092	No	
row_11	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	2156	0.6399751305580139	0.02349306	No	
row_12	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	2162	0.6386682391166687	0.030756244	No	
row_13	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	2380	0.594869077205658	0.024007492	No	
row_14	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	2488	0.5791508555412292	0.024072725	No	
