NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	61	2.0441513061523438	0.016023736	Yes	
row_1	PBK	PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]	96	1.896334171295166	0.032330487	Yes	
row_2	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	98	1.8903106451034546	0.05068475	Yes	
row_3	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	123	1.7928931713104248	0.06662188	Yes	
row_4	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	133	1.7622326612472534	0.08321763	Yes	
row_5	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	144	1.7215344905853271	0.099353015	Yes	
row_6	SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	149	1.7085967063903809	0.11574529	Yes	
row_7	RAD54L	RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]	170	1.648590326309204	0.13053171	Yes	
row_8	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	172	1.6380324363708496	0.14642793	Yes	
row_9	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	187	1.6101404428482056	0.16122265	Yes	
row_10	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	196	1.5931349992752075	0.17623465	Yes	
row_11	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	210	1.5619574785232544	0.19062373	Yes	
row_12	KIF23	kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]	238	1.5235044956207275	0.20374462	Yes	
row_13	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	368	1.359133005142212	0.20875387	Yes	
row_14	RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]	372	1.355201005935669	0.2217667	Yes	
row_15	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	463	1.2627102136611938	0.22832562	Yes	
row_16	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	471	1.255610466003418	0.24011278	Yes	
row_17	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	509	1.2279490232467651	0.2497157	Yes	
row_18	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	545	1.1953306198120117	0.25912845	Yes	
row_19	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	627	1.125304937362671	0.264923	Yes	
row_20	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	631	1.1234090328216553	0.27567738	Yes	
row_21	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	671	1.0944586992263794	0.283852	Yes	
row_22	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	680	1.0880295038223267	0.29394254	Yes	
row_23	CCNF	cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]	712	1.0681507587432861	0.3023714	Yes	
row_24	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	733	1.0560195446014404	0.31138417	Yes	
row_25	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	750	1.0480901002883911	0.32057497	Yes	
row_26	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	773	1.037239909172058	0.3292771	Yes	
