NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	48	2.1595935821533203	0.016868275	Yes	
row_1	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	134	1.7601006031036377	0.027687578	Yes	
row_2	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	143	1.7227436304092407	0.043077193	Yes	
row_3	LRRC8C	leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075]	198	1.588430404663086	0.05429085	Yes	
row_4	TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	258	1.5037567615509033	0.06440384	Yes	
row_5	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]	277	1.4812939167022705	0.07692664	Yes	
row_6	MAP6	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	292	1.4449293613433838	0.08936914	Yes	
row_7	CCR4	C-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1605]	295	1.4401192665100098	0.102533236	Yes	
row_8	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	340	1.390852451324463	0.11256164	Yes	
row_9	F2RL2	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]	344	1.387792944908142	0.12517895	Yes	
row_10	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	350	1.3833247423171997	0.13762736	Yes	
row_11	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	365	1.3672888278961182	0.14935327	Yes	
row_12	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	418	1.3046761751174927	0.15807565	Yes	
row_13	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	521	1.2181179523468018	0.1628075	Yes	
row_14	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	527	1.2100269794464111	0.17365643	Yes	
row_15	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	548	1.1910688877105713	0.1833729	Yes	
