NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	39	2.225013017654419	0.015355078	Yes	
row_1	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	48	2.1595935821533203	0.03216369	Yes	
row_2	RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	64	1.9993187189102173	0.04724028	Yes	
row_3	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	68	1.9862440824508667	0.06297775	Yes	
row_4	CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	110	1.8395168781280518	0.07511368	Yes	
row_5	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	127	1.7883890867233276	0.08843488	Yes	
row_6	CCL22	C-C motif chemokine ligand 22 [Source:HGNC Symbol;Acc:HGNC:10621]	129	1.779744029045105	0.10264393	Yes	
row_7	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	130	1.7757253646850586	0.11688457	Yes	
row_8	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	176	1.6358861923217773	0.1271322	Yes	
row_9	OSM	oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]	188	1.60861074924469	0.13933071	Yes	
row_10	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	209	1.5620402097702026	0.15058143	Yes	
row_11	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	212	1.560821294784546	0.16297099	Yes	
row_12	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	217	1.544370412826538	0.175101	Yes	
row_13	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	237	1.5263909101486206	0.18612964	Yes	
row_14	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	297	1.4370976686477661	0.19388969	Yes	
row_15	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	311	1.4207167625427246	0.20445374	Yes	
row_16	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	314	1.416245698928833	0.21568386	Yes	
