NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	37	2.2602407932281494	0.038608413	Yes	
row_1	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	174	1.6378347873687744	0.0596609	Yes	
row_2	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	244	1.5124342441558838	0.082690015	Yes	
row_3	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	248	1.5085504055023193	0.10983419	Yes	
row_4	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	263	1.4946271181106567	0.1360285	Yes	
row_5	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	281	1.4706891775131226	0.16159882	Yes	
row_6	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	340	1.390852451324463	0.18312249	Yes	
row_7	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	343	1.389225959777832	0.20816796	Yes	
row_8	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	398	1.3245517015457153	0.22874394	Yes	
row_9	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	572	1.1691606044769287	0.23895784	Yes	
row_10	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	609	1.1420416831970215	0.25736827	Yes	
row_11	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	636	1.119837999343872	0.27601054	Yes	
row_12	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	638	1.119275450706482	0.29622802	Yes	
row_13	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	695	1.0775285959243774	0.3122012	Yes	
row_14	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	726	1.0606606006622314	0.32951754	Yes	
row_15	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	751	1.0462781190872192	0.34695378	Yes	
row_16	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	812	1.0195297002792358	0.36162236	Yes	
row_17	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	838	1.005696177482605	0.37825984	Yes	
row_18	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	842	1.0030653476715088	0.3962448	Yes	
row_19	IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	857	0.9957069754600525	0.41339886	Yes	
row_20	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	861	0.9934144020080566	0.43120894	Yes	
row_21	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	886	0.9829619526863098	0.4474979	Yes	
row_22	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	1004	0.9335340857505798	0.45699358	Yes	
row_23	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	1092	0.905616283416748	0.46788588	Yes	
row_24	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	1109	0.9009920954704285	0.4831969	Yes	
row_25	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	1186	0.8795310854911804	0.49431413	Yes	
row_26	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	1340	0.8379382491111755	0.4997947	Yes	
row_27	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1363	0.8328642249107361	0.5134908	Yes	
row_28	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	1429	0.8139699101448059	0.5241176	Yes	
row_29	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	1661	0.7506049275398254	0.5230693	Yes	
