NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	37	2.2602407932281494	0.016385123	Yes	
row_1	OAS3	2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]	44	2.184567928314209	0.034121163	Yes	
row_2	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	91	1.9059996604919434	0.046993762	Yes	
row_3	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	127	1.7883890867233276	0.059592955	Yes	
row_4	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	130	1.7757253646850586	0.07419332	Yes	
row_5	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	173	1.6379555463790894	0.085098036	Yes	
row_6	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	174	1.6378347873687744	0.098682374	Yes	
row_7	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	195	1.5931892395019531	0.11061993	Yes	
row_8	XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	242	1.515789270401001	0.12025609	Yes	
row_9	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	244	1.5124342441558838	0.13273652	Yes	
row_10	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	248	1.5085504055023193	0.14505708	Yes	
row_11	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	257	1.505564570426941	0.15703377	Yes	
row_12	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	263	1.4946271181106567	0.1691112	Yes	
row_13	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	281	1.4706891775131226	0.18022421	Yes	
