NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	6	2.9596052169799805	0.021907428	Yes	
row_1	TMEM100	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]	22	2.4387989044189453	0.039317966	Yes	
row_2	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	30	2.3441312313079834	0.056526106	Yes	
row_3	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	39	2.225013017654419	0.07277328	Yes	
row_4	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	68	1.9862440824508667	0.085945666	Yes	
row_5	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	95	1.8975580930709839	0.09857776	Yes	
row_6	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]	128	1.7870385646820068	0.10999453	Yes	
row_7	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	134	1.7601006031036377	0.122931674	Yes	
row_8	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	158	1.6901671886444092	0.13419327	Yes	
row_9	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	159	1.68844735622406	0.14690988	Yes	
row_10	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	195	1.5931892395019531	0.15667519	Yes	
row_11	IKZF1	IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13176]	204	1.5747579336166382	0.16802494	Yes	
row_12	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	212	1.560821294784546	0.17933355	Yes	
row_13	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	253	1.5068891048431396	0.18812977	Yes	
row_14	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	259	1.5033727884292603	0.19913335	Yes	
row_15	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	263	1.4946271181106567	0.21019872	Yes	
row_16	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	279	1.476273536682129	0.22035997	Yes	
row_17	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	303	1.4322527647018433	0.22967906	Yes	
row_18	MYCN	MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]	346	1.386008381843567	0.23743722	Yes	
row_19	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	350	1.3833247423171997	0.2476643	Yes	
row_20	IL1RL2	interleukin 1 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:5999]	377	1.347638487815857	0.25615466	Yes	
row_21	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	415	1.306152582168579	0.2636305	Yes	
row_22	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	452	1.269425868988037	0.27089354	Yes	
row_23	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	495	1.235227108001709	0.27751607	Yes	
row_24	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	499	1.233319640159607	0.2866134	Yes	
row_25	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	521	1.2181179523468018	0.2944474	Yes	
row_26	MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	589	1.1536997556686401	0.29886028	Yes	
row_27	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	625	1.1266486644744873	0.30511183	Yes	
row_28	DOCK2	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988]	673	1.0921605825424194	0.31033772	Yes	
row_29	PDCD1LG2	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	739	1.0516921281814575	0.31411	Yes	
row_30	PLVAP	plasmalemma vesicle associated protein [Source:HGNC Symbol;Acc:HGNC:13635]	742	1.0511894226074219	0.32189944	Yes	
row_31	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	763	1.042148232460022	0.32847193	Yes	
row_32	TLR8	toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]	852	0.996909499168396	0.33036363	Yes	
row_33	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	895	0.9800260663032532	0.3350641	Yes	
row_34	MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	910	0.9745562076568604	0.34151047	Yes	
row_35	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	1012	0.9291754364967346	0.34206235	Yes	
row_36	WNT7A	Wnt family member 7A [Source:HGNC Symbol;Acc:HGNC:12786]	1090	0.9058955907821655	0.34397066	Yes	
row_37	ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	1104	0.9019429683685303	0.34993395	Yes	
row_38	FLT4	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	1145	0.8949203491210938	0.35412112	Yes	
row_39	SLPI	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	1153	0.8898568153381348	0.36037633	Yes	
row_40	TMEM176B	transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]	1234	0.8646581768989563	0.36178258	Yes	
row_41	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	1242	0.8629979491233826	0.36783552	Yes	
row_42	AMMECR1	AMMECR nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:467]	1263	0.8567202091217041	0.37301144	Yes	
row_43	ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	1322	0.8418245315551758	0.37564987	Yes	
row_44	ARG1	arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]	1333	0.8392986059188843	0.38133284	Yes	
row_45	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	1366	0.832103431224823	0.38555747	Yes	
row_46	GNG11	G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]	1390	0.8258474469184875	0.39030942	Yes	
row_47	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	1444	0.8075599074363708	0.3930089	Yes	
row_48	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	1477	0.7981254458427429	0.3969776	Yes	
row_49	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	1574	0.7725261449813843	0.3966688	Yes	
row_50	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	1651	0.7527405023574829	0.39748743	Yes	
row_51	MAP3K1	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	1678	0.7466853857040405	0.40145168	Yes	
row_52	PLEK2	pleckstrin 2 [Source:HGNC Symbol;Acc:HGNC:19238]	1696	0.7420450448989868	0.4059554	Yes	
row_53	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	1764	0.7204286456108093	0.40710512	Yes	
row_54	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	1775	0.7172822952270508	0.4118691	Yes	
row_55	SPON1	spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252]	1841	0.7014493942260742	0.4130035	Yes	
row_56	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	1912	0.6854418516159058	0.41369826	Yes	
row_57	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	1942	0.6786127090454102	0.41695833	Yes	
row_58	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863]	2041	0.6604256629943848	0.41567758	Yes	
row_59	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	2070	0.6556814908981323	0.4188288	Yes	
row_60	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	2149	0.6410031914710999	0.41867822	Yes	
row_61	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	2155	0.6401224136352539	0.4231802	Yes	
row_62	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	2170	0.6364760994911194	0.4270803	Yes	
row_63	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	2186	0.6325587034225464	0.43088707	Yes	
row_64	H2BC3	H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]	2189	0.6314347982406616	0.4355151	Yes	
row_65	BTBD3	BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854]	2214	0.6242950558662415	0.4386852	Yes	
row_66	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	2284	0.6102896928787231	0.43887776	Yes	
row_67	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	2330	0.6044896245002747	0.4405584	Yes	
row_68	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	2363	0.5978200435638428	0.44301853	Yes	
row_69	ANO1	anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]	2464	0.5827035903930664	0.44102472	Yes	
row_70	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	2480	0.5805222392082214	0.4444396	Yes	
row_71	PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	2501	0.5773095488548279	0.44751114	Yes	
row_72	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	2664	0.5483663082122803	0.44130164	No	
row_73	FBXO4	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]	2810	0.5245037078857422	0.43599743	No	
row_74	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]	2864	0.5154256820678711	0.43649668	No	
