NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	61	2.0441513061523438	0.01982823	Yes	
row_1	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	123	1.7928931713104248	0.036740594	Yes	
row_2	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	144	1.7215344905853271	0.055442303	Yes	
row_3	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	172	1.6380324363708496	0.07272808	Yes	
row_4	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	210	1.5619574785232544	0.088492595	Yes	
row_5	KIF23	kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]	238	1.5235044956207275	0.104449265	Yes	
row_6	PIF1	PIF1 5'-to-3' DNA helicase [Source:HGNC Symbol;Acc:HGNC:26220]	301	1.433727741241455	0.11712965	Yes	
row_7	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	368	1.359133005142212	0.12868899	Yes	
row_8	RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]	372	1.355201005935669	0.14422467	Yes	
row_9	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	447	1.2760963439941406	0.15430965	Yes	
row_10	ECT2	epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]	455	1.2685279846191406	0.16858411	Yes	
row_11	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	463	1.2627102136611938	0.18279107	Yes	
row_12	GEMIN4	gem nuclear organelle associated protein 4 [Source:HGNC Symbol;Acc:HGNC:15717]	530	1.2064303159713745	0.19257829	Yes	
row_13	ANLN	anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	535	1.2034584283828735	0.20628913	Yes	
row_14	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	545	1.1953306198120117	0.21958646	Yes	
row_15	DOCK2	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988]	673	1.0921605825424194	0.2241533	Yes	
row_16	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	733	1.0560195446014404	0.23264186	Yes	
row_17	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	750	1.0480901002883911	0.24378358	Yes	
row_18	KNTC1	kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]	786	1.0311750173568726	0.25351602	Yes	
row_19	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	846	1.0009039640426636	0.26136497	Yes	
row_20	NUSAP1	nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]	964	0.9496197700500488	0.264916	Yes	
row_21	ARF6	ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]	1089	0.905910074710846	0.26751292	Yes	
row_22	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	1168	0.885088324546814	0.27280486	Yes	
row_23	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1194	0.8771290183067322	0.28138795	Yes	
row_24	DLGAP5	DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]	1323	0.8414496779441833	0.28298146	Yes	
row_25	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	1370	0.8315200805664062	0.2896946	Yes	
row_26	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1430	0.8116450309753418	0.2953472	Yes	
row_27	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	1579	0.7715439796447754	0.2948526	Yes	
row_28	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1654	0.7519293427467346	0.2988546	Yes	
