NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	404	1.3205137252807617	-0.009896511	No	
row_1	ATP6V0E1	ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863]	1265	0.8566207885742188	-0.054483395	No	
row_2	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	1623	0.7584052681922913	-0.068144515	No	
row_3	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	1900	0.6882100105285645	-0.07747997	No	
row_4	POLR2F	RNA polymerase II subunit F [Source:HGNC Symbol;Acc:HGNC:9193]	1901	0.6879922151565552	-0.06920028	No	
row_5	ATP6V1F	ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	2015	0.6664018630981445	-0.06839349	No	
row_6	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	2282	0.6105930209159851	-0.07802471	No	
row_7	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	2323	0.6051503419876099	-0.07329528	No	
row_8	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	2430	0.5871190428733826	-0.072995804	No	
row_9	ATP6V0C	ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855]	3191	0.4693881869316101	-0.11585961	No	
row_10	COX7A2	cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]	3238	0.4632859230041504	-0.11322046	No	
row_11	TOMM22	translocase of outer mitochondrial membrane 22 [Source:HGNC Symbol;Acc:HGNC:18002]	3268	0.4596826136112213	-0.10953952	No	
row_12	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]	3492	0.42847907543182373	-0.1186176	No	
row_13	COX4I1	cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]	3560	0.41892847418785095	-0.117852755	No	
row_14	OAT	ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]	3709	0.3977900445461273	-0.122512735	No	
row_15	TIMM13	translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]	3840	0.38047483563423157	-0.1262321	No	
