NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	33	2.292207956314087	0.020138899	Yes	
row_1	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	71	1.9805943965911865	0.036998257	Yes	
row_2	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	127	1.7883890867233276	0.050843153	Yes	
row_3	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	162	1.6710798740386963	0.06489023	Yes	
row_4	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	233	1.5280438661575317	0.07525089	Yes	
row_5	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	237	1.5263909101486206	0.08987283	Yes	
row_6	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	275	1.4853445291519165	0.10192584	Yes	
row_7	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	314	1.416245698928833	0.113244414	Yes	
row_8	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	334	1.3992589712142944	0.1256111	Yes	
row_9	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	395	1.3260849714279175	0.13465019	Yes	
row_10	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	512	1.2243105173110962	0.13912646	Yes	
row_11	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	526	1.2128251791000366	0.15006688	Yes	
row_12	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	607	1.1428500413894653	0.15605088	Yes	
row_13	GM2A	GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367]	629	1.1246418952941895	0.16562475	Yes	
row_14	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	695	1.0775285959243774	0.17193241	Yes	
row_15	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	727	1.0600271224975586	0.18024081	Yes	
row_16	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	737	1.0544407367706299	0.18989947	Yes	
row_17	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	783	1.0322716236114502	0.19704475	Yes	
row_18	RACK1	receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]	789	1.0297904014587402	0.20671955	Yes	
row_19	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	803	1.0232936143875122	0.21582057	Yes	
row_20	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	820	1.0150465965270996	0.22465004	Yes	
row_21	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	823	1.0129146575927734	0.23435259	Yes	
row_22	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	874	0.9884834885597229	0.2407537	Yes	
row_23	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	882	0.9850761294364929	0.24986687	Yes	
row_24	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	886	0.9829619526863098	0.25921488	Yes	
row_25	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	903	0.9779159426689148	0.267684	Yes	
row_26	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	925	0.9714627861976624	0.2757713	Yes	
row_27	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	1008	0.9323427677154541	0.27958465	Yes	
row_28	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	1062	0.9124149680137634	0.285056	Yes	
row_29	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	1083	0.907906174659729	0.29259032	Yes	
row_30	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	1119	0.8993061780929565	0.29908356	Yes	
row_31	DEF6	DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]	1130	0.8973472118377686	0.30715382	Yes	
row_32	ZMAT3	zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]	1140	0.8959977626800537	0.31527483	Yes	
row_33	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	1147	0.8940848708152771	0.3235688	Yes	
row_34	SERPINB5	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	1165	0.8854400515556335	0.3310766	Yes	
row_35	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	1197	0.8759278059005737	0.33759832	Yes	
row_36	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	1268	0.85542231798172	0.34143126	Yes	
row_37	RAD9A	RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]	1355	0.8345747590065002	0.34404042	Yes	
row_38	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1363	0.8328642249107361	0.3516764	Yes	
row_39	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	1384	0.8279188871383667	0.35843447	Yes	
row_40	H2AJ	H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]	1397	0.8242844939231873	0.36566797	Yes	
row_41	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	1428	0.8139955401420593	0.37165248	Yes	
row_42	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	1517	0.7872317433357239	0.3736745	Yes	
row_43	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	1524	0.7852438688278198	0.38091218	Yes	
row_44	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	1526	0.7850286364555359	0.38846695	Yes	
row_45	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	1534	0.7825022339820862	0.39561418	Yes	
row_46	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	1623	0.7584052681922913	0.39735645	Yes	
