NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	81	1.9326908588409424	0.03596923	No	
row_1	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	144	1.7215344905853271	0.068652496	No	
row_2	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	250	1.507155179977417	0.09404847	No	
row_3	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	316	1.4148857593536377	0.120019205	No	
row_4	FABP6	fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]	1044	0.9197677373886108	0.09346731	No	
row_5	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	1083	0.907906174659729	0.11036754	No	
row_6	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	1110	0.9007720351219177	0.1278772	No	
row_7	CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	1314	0.8435308933258057	0.13294198	No	
row_8	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	1353	0.8346249461174011	0.14828356	No	
row_9	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	1625	0.758124828338623	0.14721845	No	
row_10	FIS1	fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]	1845	0.7007602453231812	0.14823167	No	
row_11	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209]	1976	0.6729906797409058	0.15429968	No	
row_12	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	2030	0.6631341576576233	0.16504227	No	
row_13	PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	2296	0.6088972091674805	0.16118377	No	
row_14	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	2380	0.594869077205658	0.16857146	No	
row_15	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	2673	0.5470535159111023	0.16168492	No	
row_16	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	2674	0.5469504594802856	0.17331824	No	
row_17	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	3308	0.45467251539230347	0.14283662	No	
row_18	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	3367	0.447837233543396	0.14868282	No	
row_19	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	3388	0.4440147578716278	0.15685812	No	
row_20	CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	3519	0.42429056763648987	0.1576364	No	
row_21	DIO1	iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883]	3656	0.4064342975616455	0.15765432	No	
row_22	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	4350	0.3224765658378601	0.12055507	No	
row_23	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	4473	0.31072163581848145	0.119425274	No	
row_24	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	4557	0.3030475080013275	0.12060609	No	
row_25	CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	4847	0.27483949065208435	0.10812002	No	
row_26	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	5003	0.2608776092529297	0.10383683	No	
row_27	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	5190	0.2428523302078247	0.097203866	No	
row_28	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	5247	0.23792783915996552	0.09871227	No	
row_29	PEX2	peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]	5285	0.23473107814788818	0.10135789	No	
row_30	SLC35B2	solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]	5426	0.22064565122127533	0.097170465	No	
row_31	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	5427	0.22055625915527344	0.10186157	No	
row_32	CLN8	CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]	5576	0.20635588467121124	0.09686275	No	
row_33	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	6169	0.15548157691955566	0.06261821	No	
row_34	ESR2	estrogen receptor 2 [Source:HGNC Symbol;Acc:HGNC:3468]	6842	0.10168859362602234	0.022155	No	
row_35	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	7150	0.07515514642000198	0.004279988	No	
row_36	CNBP	CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]	7170	0.07345960289239883	0.0046372293	No	
row_37	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	7229	0.06850752234458923	0.0024153078	No	
row_38	MVP	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]	7269	0.06495150923728943	0.0013229538	No	
row_39	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	7382	0.0556463785469532	-0.0045978255	No	
row_40	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	7473	0.047387175261974335	-0.009298777	No	
row_41	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	7756	0.02327764593064785	-0.026691401	No	
row_42	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	7962	0.007335335481911898	-0.03953887	No	
row_43	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	8105	-0.002131058368831873	-0.04850084	No	
row_44	PEX11B	peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853]	8231	-0.013255788013339043	-0.056147855	No	
row_45	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	8262	-0.015622241422533989	-0.057718527	No	
row_46	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	8389	-0.024942979216575623	-0.06518039	No	
row_47	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	8624	-0.04655206948518753	-0.07903326	No	
row_48	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	8882	-0.06888803839683533	-0.09386999	No	
row_49	CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]	9364	-0.10926567763090134	-0.1220566	No	
row_50	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	9494	-0.1210201159119606	-0.12766525	No	
row_51	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	9502	-0.12176812440156937	-0.12551934	No	
row_52	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	9703	-0.13960307836532593	-0.1352364	No	
row_53	PEX5	peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]	9777	-0.14672358334064484	-0.13674618	No	
row_54	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	10015	-0.16635645925998688	-0.14824118	No	
row_55	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	10408	-0.19975776970386505	-0.16885766	No	
row_56	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	10510	-0.20909865200519562	-0.17081685	No	
row_57	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	10657	-0.2218223214149475	-0.17535985	No	
row_58	NUDT19	nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]	10775	-0.23357056081295013	-0.17781344	No	
row_59	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	10791	-0.23469509184360504	-0.17377308	No	
