NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	7	2.957611083984375	0.02438566	Yes	
row_1	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	23	2.436483860015869	0.04388517	Yes	
row_2	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	27	2.3796520233154297	0.063673556	Yes	
row_3	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	39	2.225013017654419	0.08165287	Yes	
row_4	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	83	1.9244824647903442	0.09506612	Yes	
row_5	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	127	1.7883890867233276	0.107336715	Yes	
row_6	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	173	1.6379555463790894	0.118216574	Yes	
row_7	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	175	1.6365739107131958	0.13189363	Yes	
row_8	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	195	1.5931892395019531	0.1440574	Yes	
row_9	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	212	1.560821294784546	0.15614088	Yes	
row_10	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	217	1.544370412826538	0.16885228	Yes	
row_11	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	237	1.5263909101486206	0.18045518	Yes	
row_12	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	253	1.5068891048431396	0.19214968	Yes	
row_13	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	286	1.4597152471542358	0.20236288	Yes	
row_14	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	311	1.4207167625427246	0.21275935	Yes	
row_15	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	314	1.416245698928833	0.22452267	Yes	
row_16	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	315	1.4157665967941284	0.23640963	Yes	
row_17	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	337	1.3956931829452515	0.2467875	Yes	
row_18	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	340	1.390852451324463	0.25833762	Yes	
row_19	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	395	1.3260849714279175	0.26602444	Yes	
row_20	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	399	1.3237509727478027	0.27694735	Yes	
row_21	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	403	1.3205217123031616	0.2878431	Yes	
row_22	LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	407	1.3159071207046509	0.29870015	Yes	
row_23	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	415	1.306152582168579	0.30921993	Yes	
row_24	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	431	1.2904731035232544	0.31909737	Yes	
row_25	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	432	1.2879931926727295	0.32991153	Yes	
row_26	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	479	1.2518894672393799	0.3374861	Yes	
row_27	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	605	1.1454912424087524	0.33912423	Yes	
row_28	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	803	1.0232936143875122	0.33514014	Yes	
row_29	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	814	1.0161771774291992	0.34303373	Yes	
row_30	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	822	1.013222575187683	0.35109404	Yes	
row_31	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	864	0.992641806602478	0.3568111	Yes	
row_32	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	903	0.9779159426689148	0.36259604	Yes	
row_33	SLC16A6	solute carrier family 16 member 6 [Source:HGNC Symbol;Acc:HGNC:10927]	907	0.9771682024002075	0.37060896	Yes	
row_34	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	994	0.9349867701530457	0.3729693	Yes	
row_35	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	1072	0.9101549386978149	0.37569568	Yes	
row_36	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	1114	0.8998662829399109	0.38063377	Yes	
row_37	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	1119	0.8993061780929565	0.38792914	Yes	
row_38	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	1252	0.8605278134346008	0.3867278	Yes	
row_39	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	1296	0.8480686545372009	0.39110333	Yes	
row_40	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1363	0.8328642249107361	0.39388296	Yes	
row_41	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	1366	0.832103431224823	0.40074176	Yes	
row_42	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	1377	0.8296526074409485	0.40706927	Yes	
row_43	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	1402	0.8233339786529541	0.41245002	Yes	
row_44	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	1414	0.8196919560432434	0.41863006	Yes	
row_45	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	1417	0.8188247680664062	0.42537737	Yes	
row_46	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	1462	0.8017305135726929	0.42929998	Yes	
row_47	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	1526	0.7850286364555359	0.4318695	Yes	
row_48	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	1786	0.7142626047134399	0.42133287	Yes	
row_49	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1787	0.7141547799110413	0.427329	Yes	
row_50	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	1812	0.7089129090309143	0.43174908	Yes	
row_51	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	1824	0.7068734765052795	0.4369819	Yes	
row_52	CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	1856	0.6978104114532471	0.44086185	Yes	
row_53	PHLDA2	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]	1923	0.6825212240219116	0.44237918	Yes	
row_54	CEBPD	CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]	1973	0.6732553839683533	0.44490394	Yes	
row_55	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2019	0.6662033796310425	0.44762483	Yes	
row_56	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	2042	0.6600795388221741	0.45176256	Yes	
row_57	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	2149	0.6410031914710999	0.45037782	Yes	
row_58	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	2284	0.6102896928787231	0.44694778	Yes	
row_59	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	2288	0.6098662614822388	0.45187682	Yes	
row_60	PHLDA1	pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]	2347	0.6016651391983032	0.45322594	Yes	
row_61	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2348	0.6007898449897766	0.45827025	Yes	
row_62	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	2356	0.59893399477005	0.46285215	Yes	
row_63	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	2480	0.5805222392082214	0.4598744	Yes	
row_64	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	2506	0.5761337280273438	0.46311578	Yes	
row_65	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	2527	0.5722790360450745	0.466644	Yes	
row_66	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	2567	0.5647032260894775	0.46889567	Yes	
