NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	65	1.9923843145370483	0.029359162	No	
row_1	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	183	1.6250025033950806	0.049234368	No	
row_2	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	425	1.2961894273757935	0.055693854	No	
row_3	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	516	1.2216843366622925	0.07050642	No	
row_4	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	873	0.9894079566001892	0.064493075	No	
row_5	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	917	0.9734894037246704	0.07812306	No	
row_6	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	937	0.9629933834075928	0.09310331	No	
row_7	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	984	0.9399402737617493	0.10597847	No	
row_8	RGS4	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	1106	0.9014762043952942	0.113436006	No	
row_9	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	1336	0.8388209939002991	0.11297001	No	
row_10	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	1824	0.7068734765052795	0.093873635	No	
row_11	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	2051	0.6576581597328186	0.090552956	No	
row_12	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	2174	0.6353833675384521	0.09347358	No	
row_13	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	2224	0.6230191588401794	0.10083012	No	
row_14	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	2266	0.6139054298400879	0.10854236	No	
row_15	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	2313	0.6066131591796875	0.11581394	No	
row_16	SLC7A1	solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]	2327	0.6048179268836975	0.12515458	No	
row_17	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2348	0.6007898449897766	0.13398221	No	
row_18	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	2619	0.5559466481208801	0.12615266	No	
row_19	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	2639	0.5518529415130615	0.13422123	No	
row_20	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	2768	0.5314518213272095	0.13501298	No	
row_21	AMPH	amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]	2844	0.5177992582321167	0.13894673	No	
row_22	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	2932	0.5057156085968018	0.14191398	No	
row_23	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	3182	0.47030574083328247	0.1339806	No	
row_24	MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	3200	0.4685649275779724	0.14077623	No	
row_25	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	3735	0.3956361711025238	0.113457814	No	
row_26	MGMT	O-6-methylguanine-DNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:7059]	3899	0.3721170723438263	0.10934453	No	
row_27	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	4054	0.3543311655521393	0.10550476	No	
row_28	ATRN	attractin [Source:HGNC Symbol;Acc:HGNC:885]	4101	0.34932345151901245	0.10845104	No	
row_29	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]	4235	0.33423736691474915	0.10560935	No	
row_30	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	4363	0.3212716579437256	0.10293137	No	
row_31	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	4378	0.32011428475379944	0.10742224	No	
row_32	ADGRL2	adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]	4430	0.315084308385849	0.10947485	No	
row_33	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	4593	0.299972802400589	0.10421236	No	
row_34	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	4639	0.29525816440582275	0.106313355	No	
row_35	ID1	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	4723	0.2880849838256836	0.10587646	No	
row_36	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]	4731	0.28740760684013367	0.11026279	No	
