NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	191	0.6010894	2.5713017	0.0	0.0	0.0	2668	tags=49%, list=17%, signal=58%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	94	0.61256	2.4137611	0.0	0.0	0.0	3509	tags=54%, list=22%, signal=69%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	195	0.54494196	2.3560016	0.0	0.0	0.0	3318	tags=48%, list=21%, signal=60%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	192	0.55189425	2.341106	0.0	0.0	0.0	3626	tags=53%, list=23%, signal=67%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	0.54016006	2.314509	0.0	0.0	0.0	4185	tags=49%, list=26%, signal=66%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	0.5351676	2.2957184	0.0	0.0	0.0	2542	tags=36%, list=16%, signal=42%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	184	0.52556694	2.2501597	0.0	0.0	0.0	2850	tags=47%, list=18%, signal=56%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	84	0.55867606	2.133885	0.0	0.0	0.0	2746	tags=51%, list=17%, signal=62%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	125	0.5212753	2.1286013	0.0	0.0	0.0	2378	tags=38%, list=15%, signal=45%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	198	0.46889567	2.0375175	0.0	0.0	0.0	2567	tags=34%, list=16%, signal=40%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	199	0.46416754	1.9989103	0.0	0.0	0.0	2664	tags=34%, list=17%, signal=41%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	195	0.44751114	1.9130061	0.0	8.5470085E-5	0.001	2501	tags=37%, list=16%, signal=43%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	160	0.45132875	1.8955771	0.0	7.8895464E-5	0.001	2782	tags=34%, list=18%, signal=41%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	197	0.44161606	1.8818253	0.0	7.3260075E-5	0.001	2918	tags=38%, list=18%, signal=46%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	0.4236811	1.8363483	0.0	1.4044814E-4	0.002	4455	tags=41%, list=28%, signal=56%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	193	0.3950901	1.6981622	0.0	0.0020731143	0.031	3206	tags=36%, list=20%, signal=45%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	194	0.38083604	1.6387725	0.0	0.0048489906	0.076	2610	tags=32%, list=16%, signal=38%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.37518764	1.6170129	0.0	0.0058263154	0.095	3986	tags=33%, list=25%, signal=44%	
