gene	P8
ENSMUSG00000000001	7583
ENSMUSG00000000003	0
ENSMUSG00000000028	187
ENSMUSG00000000031	21089
ENSMUSG00000000037	57
ENSMUSG00000000049	8
ENSMUSG00000000056	2215
ENSMUSG00000000058	4778
ENSMUSG00000000078	11174
ENSMUSG00000000085	2289
ENSMUSG00000000088	7137
ENSMUSG00000000093	1117
ENSMUSG00000000094	24
ENSMUSG00000000103	0
ENSMUSG00000000120	727
ENSMUSG00000000125	0
ENSMUSG00000000126	568
ENSMUSG00000000127	1467
ENSMUSG00000000131	3518
ENSMUSG00000000134	2915
ENSMUSG00000000142	525
ENSMUSG00000000148	1034
ENSMUSG00000000149	3575
ENSMUSG00000000154	748
ENSMUSG00000000157	8
ENSMUSG00000000159	1955
ENSMUSG00000000167	128
ENSMUSG00000000168	4308
ENSMUSG00000000171	7100
ENSMUSG00000000182	1
ENSMUSG00000000183	73
ENSMUSG00000000184	17271
ENSMUSG00000000194	3904
ENSMUSG00000000197	50
ENSMUSG00000000202	30
ENSMUSG00000000204	211
ENSMUSG00000000214	25
ENSMUSG00000000215	0
ENSMUSG00000000216	672
ENSMUSG00000000223	305
ENSMUSG00000000244	169
ENSMUSG00000000247	253
ENSMUSG00000000248	66
ENSMUSG00000000253	4367
ENSMUSG00000000263	4
ENSMUSG00000000266	1596
ENSMUSG00000000275	4147
ENSMUSG00000000276	1086
ENSMUSG00000000278	3812
ENSMUSG00000000282	2028
ENSMUSG00000000290	4949
ENSMUSG00000000295	805
ENSMUSG00000000296	857
ENSMUSG00000000301	194
ENSMUSG00000000303	24054
ENSMUSG00000000305	2480
ENSMUSG00000000308	8761
ENSMUSG00000000317	398
ENSMUSG00000000318	660
ENSMUSG00000000320	511
ENSMUSG00000000325	1158
ENSMUSG00000000326	4721
ENSMUSG00000000339	1001
ENSMUSG00000000340	1942
ENSMUSG00000000346	13211
ENSMUSG00000000355	1586
ENSMUSG00000000359	187
ENSMUSG00000000365	2
ENSMUSG00000000374	4269
ENSMUSG00000000378	1241
ENSMUSG00000000381	0
ENSMUSG00000000384	1786
ENSMUSG00000000385	14912
ENSMUSG00000000386	183
ENSMUSG00000000392	483
ENSMUSG00000000394	0
ENSMUSG00000000399	5268
ENSMUSG00000000402	1164
ENSMUSG00000000409	424
ENSMUSG00000000411	7
ENSMUSG00000000416	364
ENSMUSG00000000420	7859
ENSMUSG00000000435	21
ENSMUSG00000000439	1700
ENSMUSG00000000440	440
ENSMUSG00000000441	7635
ENSMUSG00000000486	347
ENSMUSG00000000489	2592
ENSMUSG00000000530	3200
ENSMUSG00000000531	451
ENSMUSG00000000532	3363
ENSMUSG00000000538	7920
ENSMUSG00000000544	1
ENSMUSG00000000552	1121
ENSMUSG00000000555	2003
ENSMUSG00000000560	3
ENSMUSG00000000561	1616
ENSMUSG00000000562	17
ENSMUSG00000000563	14502
ENSMUSG00000000567	7426
ENSMUSG00000000568	4941
ENSMUSG00000000579	165
ENSMUSG00000000581	1376
ENSMUSG00000000594	8546
ENSMUSG00000000600	4062
ENSMUSG00000000605	5843
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	68
ENSMUSG00000000628	6531
ENSMUSG00000000631	11526
ENSMUSG00000000632	2
ENSMUSG00000000673	60
ENSMUSG00000000682	1430
ENSMUSG00000000686	99
ENSMUSG00000000690	622
ENSMUSG00000000693	779
ENSMUSG00000000701	0
ENSMUSG00000000706	11
ENSMUSG00000000708	5728
ENSMUSG00000000711	8528
ENSMUSG00000000724	0
ENSMUSG00000000730	14
ENSMUSG00000000731	23
ENSMUSG00000000732	1275
ENSMUSG00000000738	4147
ENSMUSG00000000739	213
ENSMUSG00000000740	18858
ENSMUSG00000000743	6034
ENSMUSG00000000751	2800
ENSMUSG00000000753	11034
ENSMUSG00000000759	4267
ENSMUSG00000000766	0
ENSMUSG00000000776	1296
ENSMUSG00000000782	393
ENSMUSG00000000787	20127
ENSMUSG00000000791	64
ENSMUSG00000000792	6915
ENSMUSG00000000794	346
ENSMUSG00000000804	2802
ENSMUSG00000000805	434
ENSMUSG00000000811	745
ENSMUSG00000000817	32
ENSMUSG00000000823	3778
ENSMUSG00000000826	7084
ENSMUSG00000000827	6838
ENSMUSG00000000838	2996
ENSMUSG00000000861	173
ENSMUSG00000000869	4
ENSMUSG00000000876	1449
ENSMUSG00000000881	3840
ENSMUSG00000000884	218
ENSMUSG00000000889	1
ENSMUSG00000000901	2660
ENSMUSG00000000902	3574
ENSMUSG00000000903	129
ENSMUSG00000000915	4872
ENSMUSG00000000916	714
ENSMUSG00000000934	757
ENSMUSG00000000938	1
ENSMUSG00000000942	103
ENSMUSG00000000948	84
ENSMUSG00000000957	4217
ENSMUSG00000000958	1178
ENSMUSG00000000959	3579
ENSMUSG00000000976	1294
ENSMUSG00000000982	374
ENSMUSG00000000983	4
ENSMUSG00000001014	73
ENSMUSG00000001016	5280
ENSMUSG00000001017	6763
ENSMUSG00000001018	4756
ENSMUSG00000001020	1086
ENSMUSG00000001021	24
ENSMUSG00000001023	87
ENSMUSG00000001025	10684
ENSMUSG00000001027	3418
ENSMUSG00000001029	576
ENSMUSG00000001034	1485
ENSMUSG00000001036	3440
ENSMUSG00000001039	840
ENSMUSG00000001052	3690
ENSMUSG00000001053	1266
ENSMUSG00000001054	2125
ENSMUSG00000001056	2014
ENSMUSG00000001062	1494
ENSMUSG00000001065	1632
ENSMUSG00000001076	4
ENSMUSG00000001082	2157
ENSMUSG00000001089	3833
ENSMUSG00000001095	6
ENSMUSG00000001098	7164
ENSMUSG00000001100	4216
ENSMUSG00000001103	0
ENSMUSG00000001105	2306
ENSMUSG00000001119	8195
ENSMUSG00000001120	293
ENSMUSG00000001123	1582
ENSMUSG00000001127	6687
ENSMUSG00000001128	2171
ENSMUSG00000001131	997
ENSMUSG00000001134	828
ENSMUSG00000001138	1645
ENSMUSG00000001143	2101
ENSMUSG00000001150	2226
ENSMUSG00000001151	4082
ENSMUSG00000001155	0
ENSMUSG00000001156	2036
ENSMUSG00000001157	1186
ENSMUSG00000001158	2881
ENSMUSG00000001166	221
ENSMUSG00000001168	3
ENSMUSG00000001173	3029
ENSMUSG00000001175	35729
ENSMUSG00000001211	7367
ENSMUSG00000001225	0
ENSMUSG00000001227	700
ENSMUSG00000001228	755
ENSMUSG00000001229	3016
ENSMUSG00000001240	1210
ENSMUSG00000001247	6275
ENSMUSG00000001248	3369
ENSMUSG00000001249	1195
ENSMUSG00000001260	0
ENSMUSG00000001270	2277
ENSMUSG00000001280	5577
ENSMUSG00000001281	485
ENSMUSG00000001285	1596
ENSMUSG00000001288	4027
ENSMUSG00000001289	5948
ENSMUSG00000001300	2578
ENSMUSG00000001305	501
ENSMUSG00000001313	471
ENSMUSG00000001323	1836
ENSMUSG00000001333	747
ENSMUSG00000001334	824
ENSMUSG00000001348	3129
ENSMUSG00000001349	101
ENSMUSG00000001366	2508
ENSMUSG00000001376	1988
ENSMUSG00000001380	2701
ENSMUSG00000001383	3956
ENSMUSG00000001403	672
ENSMUSG00000001415	4469
ENSMUSG00000001416	6402
ENSMUSG00000001418	9092
ENSMUSG00000001419	7224
ENSMUSG00000001420	2642
ENSMUSG00000001424	6816
ENSMUSG00000001435	15227
ENSMUSG00000001436	625
ENSMUSG00000001440	10268
ENSMUSG00000001441	5530
ENSMUSG00000001444	30
ENSMUSG00000001445	2765
ENSMUSG00000001467	2546
ENSMUSG00000001472	21168
ENSMUSG00000001473	3503
ENSMUSG00000001482	2299
ENSMUSG00000001493	760
ENSMUSG00000001494	7
ENSMUSG00000001496	13587
ENSMUSG00000001497	3315
ENSMUSG00000001504	282
ENSMUSG00000001506	3779
ENSMUSG00000001507	12947
ENSMUSG00000001508	1850
ENSMUSG00000001510	388
ENSMUSG00000001517	280
ENSMUSG00000001518	1162
ENSMUSG00000001520	86
ENSMUSG00000001521	1044
ENSMUSG00000001524	815
ENSMUSG00000001525	11730
ENSMUSG00000001542	2898
ENSMUSG00000001552	13547
ENSMUSG00000001555	1267
ENSMUSG00000001558	5
ENSMUSG00000001566	0
ENSMUSG00000001569	1846
ENSMUSG00000001576	7781
ENSMUSG00000001583	2443
ENSMUSG00000001588	203
ENSMUSG00000001604	1963
ENSMUSG00000001622	0
ENSMUSG00000001627	3327
ENSMUSG00000001630	1590
ENSMUSG00000001632	1741
ENSMUSG00000001642	5236
ENSMUSG00000001655	0
ENSMUSG00000001656	0
ENSMUSG00000001657	0
ENSMUSG00000001661	13
ENSMUSG00000001663	2255
ENSMUSG00000001665	3947
ENSMUSG00000001666	1149
ENSMUSG00000001670	1
ENSMUSG00000001672	1152
ENSMUSG00000001674	1651
ENSMUSG00000001687	5527
ENSMUSG00000001700	1817
ENSMUSG00000001707	681
ENSMUSG00000001729	10594
ENSMUSG00000001739	217
ENSMUSG00000001741	542
ENSMUSG00000001750	3877
ENSMUSG00000001751	3239
ENSMUSG00000001755	2318
ENSMUSG00000001761	2265
ENSMUSG00000001763	2009
ENSMUSG00000001767	1526
ENSMUSG00000001768	6340
ENSMUSG00000001773	39
ENSMUSG00000001774	3400
ENSMUSG00000001783	7965
ENSMUSG00000001785	1631
ENSMUSG00000001786	1812
ENSMUSG00000001794	18522
ENSMUSG00000001802	4966
ENSMUSG00000001804	0
ENSMUSG00000001815	0
ENSMUSG00000001819	3
ENSMUSG00000001823	0
ENSMUSG00000001827	6109
ENSMUSG00000001829	3331
ENSMUSG00000001833	9055
ENSMUSG00000001844	1870
ENSMUSG00000001847	14526
ENSMUSG00000001855	2653
ENSMUSG00000001864	11981
ENSMUSG00000001865	278
ENSMUSG00000001870	3774
ENSMUSG00000001891	15730
ENSMUSG00000001901	2
ENSMUSG00000001909	3056
ENSMUSG00000001910	6364
ENSMUSG00000001911	9651
ENSMUSG00000001918	9497
ENSMUSG00000001924	16119
ENSMUSG00000001930	3663
ENSMUSG00000001942	1858
ENSMUSG00000001943	166
ENSMUSG00000001946	1946
