gene	W8
ENSMUSG00000000001	7084
ENSMUSG00000000003	0
ENSMUSG00000000028	140
ENSMUSG00000000031	2093
ENSMUSG00000000037	73
ENSMUSG00000000049	4
ENSMUSG00000000056	2039
ENSMUSG00000000058	3579
ENSMUSG00000000078	41077
ENSMUSG00000000085	2009
ENSMUSG00000000088	5642
ENSMUSG00000000093	1035
ENSMUSG00000000094	5
ENSMUSG00000000103	0
ENSMUSG00000000120	702
ENSMUSG00000000125	14
ENSMUSG00000000126	361
ENSMUSG00000000127	1287
ENSMUSG00000000131	3610
ENSMUSG00000000134	2814
ENSMUSG00000000142	562
ENSMUSG00000000148	991
ENSMUSG00000000149	4178
ENSMUSG00000000154	387
ENSMUSG00000000157	0
ENSMUSG00000000159	1562
ENSMUSG00000000167	166
ENSMUSG00000000168	4356
ENSMUSG00000000171	6201
ENSMUSG00000000182	0
ENSMUSG00000000183	12
ENSMUSG00000000184	17414
ENSMUSG00000000194	3660
ENSMUSG00000000197	68
ENSMUSG00000000202	0
ENSMUSG00000000204	10
ENSMUSG00000000214	1
ENSMUSG00000000215	0
ENSMUSG00000000216	901
ENSMUSG00000000223	282
ENSMUSG00000000244	84
ENSMUSG00000000247	1
ENSMUSG00000000248	0
ENSMUSG00000000253	3089
ENSMUSG00000000263	1
ENSMUSG00000000266	1631
ENSMUSG00000000275	3987
ENSMUSG00000000276	1329
ENSMUSG00000000278	4102
ENSMUSG00000000282	2756
ENSMUSG00000000290	1466
ENSMUSG00000000295	694
ENSMUSG00000000296	607
ENSMUSG00000000301	181
ENSMUSG00000000303	23169
ENSMUSG00000000305	4109
ENSMUSG00000000308	6744
ENSMUSG00000000317	715
ENSMUSG00000000318	449
ENSMUSG00000000320	466
ENSMUSG00000000325	1113
ENSMUSG00000000326	5445
ENSMUSG00000000339	1077
ENSMUSG00000000340	2303
ENSMUSG00000000346	14883
ENSMUSG00000000355	1408
ENSMUSG00000000359	241
ENSMUSG00000000365	10
ENSMUSG00000000374	4494
ENSMUSG00000000378	1334
ENSMUSG00000000381	0
ENSMUSG00000000384	1504
ENSMUSG00000000385	7211
ENSMUSG00000000386	78
ENSMUSG00000000392	490
ENSMUSG00000000394	0
ENSMUSG00000000399	4570
ENSMUSG00000000402	2315
ENSMUSG00000000409	537
ENSMUSG00000000411	11
ENSMUSG00000000416	431
ENSMUSG00000000420	6281
ENSMUSG00000000435	1
ENSMUSG00000000439	1646
ENSMUSG00000000440	703
ENSMUSG00000000441	6057
ENSMUSG00000000486	338
ENSMUSG00000000489	2179
ENSMUSG00000000530	6148
ENSMUSG00000000531	444
ENSMUSG00000000532	3299
ENSMUSG00000000538	6304
ENSMUSG00000000544	8
ENSMUSG00000000552	592
ENSMUSG00000000555	1452
ENSMUSG00000000560	37
ENSMUSG00000000561	1366
ENSMUSG00000000562	38
ENSMUSG00000000563	11548
ENSMUSG00000000567	6841
ENSMUSG00000000568	5044
ENSMUSG00000000579	151
ENSMUSG00000000581	1286
ENSMUSG00000000594	4587
ENSMUSG00000000600	5083
ENSMUSG00000000605	6170
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	48
ENSMUSG00000000628	2508
ENSMUSG00000000631	8370
