P2	P4	P6	P8	P9	W5	W6	W7	W8	W9
ENSMUSG00000000001	3.25	2.74	4.58	3.23	3.05	2.23	2.26	2.49	3.18	2.82
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	0.06	0.12	0.08	0.1	0.13	0.1	0.09	0.06	0.08	0.07
ENSMUSG00000000031	29.18	114.25	8.9	133.46	95.89	123.2	108.31	134.06	13.96	82.49
ENSMUSG00000000037	0	0.01	0.01	0.01	0	0	0.01	0.02	0.01	0.01
ENSMUSG00000000049	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000056	1.31	2.32	1.26	1.97	2.37	3.41	3.02	3	1.91	2.77
ENSMUSG00000000058	9.05	9.59	15.89	9.97	13.17	7.75	8	7.64	7.87	7.59
ENSMUSG00000000078	25.6	30.35	23.04	20.75	23.84	21.8	16.69	23.74	80.35	16.06
ENSMUSG00000000085	0.27	0.29	0.26	0.3	0.26	0.29	0.28	0.27	0.28	0.26
ENSMUSG00000000088	5.77	11.64	7.6	10.59	17.3	18.15	14.4	13.49	8.82	15.87
ENSMUSG00000000093	1.77	1.6	2.04	1.97	1.58	1.54	1.98	1.56	1.92	1.55
ENSMUSG00000000094	0.01	0.01	0	0.01	0.02	0.08	0.01	0.01	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0.34	0.36	0.28	0.64	0.37	0.18	0.3	1.03	0.65	0.75
ENSMUSG00000000125	0	0	0	0	0	0.01	0	0	0.01	0
ENSMUSG00000000126	0.15	0.28	0.28	0.35	0.36	0.45	0.54	0.38	0.24	0.39
ENSMUSG00000000127	0.08	0.08	0.07	0.09	0.08	0.08	0.07	0.08	0.08	0.08
ENSMUSG00000000131	0.64	0.65	0.67	0.59	0.56	0.72	0.75	0.7	0.64	0.63
ENSMUSG00000000134	3.61	3.25	4.04	3.82	3.11	2.88	3.27	3.61	3.88	3.3
ENSMUSG00000000142	0.25	0.32	0.26	0.29	0.27	0.39	0.34	0.43	0.32	0.38
ENSMUSG00000000148	1.22	1.29	1.34	1.19	1.03	1.06	1.15	1.21	1.2	1.16
ENSMUSG00000000149	0.91	0.91	0.82	0.82	0.87	0.85	0.92	0.81	1.01	0.97
ENSMUSG00000000154	0.34	0.39	0.37	0.48	0.49	0.37	0.24	0.22	0.26	0.2
ENSMUSG00000000157	0	0	0	0.01	0	0	0	0	0	0
ENSMUSG00000000159	0.6	0.43	0.39	0.54	0.53	0.31	0.29	0.26	0.45	0.35
ENSMUSG00000000167	0.34	0.29	0.19	0.28	0.28	0.39	0.27	0.32	0.38	0.34
ENSMUSG00000000168	2.06	3.48	2.54	2.83	3.59	5.8	4.79	4.78	3.02	4.85
ENSMUSG00000000171	11.6	17.47	13.43	15.76	24.05	23.97	21.73	20.17	14.5	22.7
ENSMUSG00000000182	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0.02	0.18	0.01	0.1	0.18	0.39	0.26	0.32	0.02	0.2
ENSMUSG00000000184	14.31	11.52	13.63	10.57	8.91	7.79	8.1	9.35	11.23	8.43
ENSMUSG00000000194	1.05	0.94	1.03	0.97	0.79	0.89	0.86	0.93	0.96	0.86
ENSMUSG00000000197	0	0	0	0	0	0.01	0	0.01	0	0.01
ENSMUSG00000000202	0.01	0.02	0.01	0.1	0.12	0	0.04	0.01	0	0.03
ENSMUSG00000000204	0.01	0.17	0.06	0.23	0.04	0.01	0.01	0.01	0.01	0.01
ENSMUSG00000000214	0.01	0	0	0.01	0.02	0.02	0.01	0.02	0	0.02
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0.51	0.57	0.52	0.33	0.56	0.25	0.38	0.4	0.46	0.54
ENSMUSG00000000223	0.03	0.1	0.06	0.1	0.06	0.16	0.1	0.15	0.09	0.16
ENSMUSG00000000244	0.11	0.28	0.18	0.19	0.19	0.07	0.12	0.09	0.1	0.12
ENSMUSG00000000247	0.4	0.15	0.05	0.14	0.05	0	0	0.01	0	0
ENSMUSG00000000248	0.01	0	0	0.02	0.01	0	0	0	0	0
ENSMUSG00000000253	1.06	1.37	1.01	1.56	1.94	1.77	1.76	1.47	1.16	1.66
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	0.32	0.26	0.38	0.26	0.23	0.2	0.24	0.26	0.28	0.24
ENSMUSG00000000275	3.38	3.44	3.23	3.28	2.62	2.84	2.93	2.91	3.32	2.79
ENSMUSG00000000276	0.74	0.61	0.93	0.57	0.6	0.77	0.72	0.71	0.73	0.55
ENSMUSG00000000278	2.13	1.97	2.22	2.01	2.29	1.52	1.86	1.92	2.27	2.17
ENSMUSG00000000282	2.45	2.33	3.55	2.27	1.7	2.43	2.13	2.46	3.25	2.1
ENSMUSG00000000290	1.14	1.6	1.88	2.31	1.86	0.42	0.59	0.41	0.72	0.58
ENSMUSG00000000295	0.96	0.66	0.67	0.9	1.11	0.96	0.94	0.81	0.82	0.96
ENSMUSG00000000296	0.09	0.13	0.06	0.12	0.16	0.21	0.15	0.16	0.09	0.15
ENSMUSG00000000301	0.06	0.03	0.05	0.04	0.07	0.03	0.06	0.04	0.04	0.05
ENSMUSG00000000303	4.78	5.58	10.96	5.95	5.26	4.51	4.83	4.9	6.04	4.86
ENSMUSG00000000305	0.25	0.14	0.1	0.09	0.06	0.09	0.11	0.17	0.16	0.15
ENSMUSG00000000308	17.08	14.92	16.86	24.07	20.56	15.99	18.78	17.86	19.52	18.22
ENSMUSG00000000317	1.39	2.37	1.42	1.16	1.8	1.82	1.44	1.2	2.2	2.63
ENSMUSG00000000318	0.55	0.85	0.68	0.75	0.85	0.7	0.69	0.54	0.53	0.64
ENSMUSG00000000320	0.52	0.67	0.39	0.61	0.66	0.7	0.53	0.69	0.58	0.44
ENSMUSG00000000325	0.29	0.33	0.32	0.33	0.29	0.32	0.35	0.38	0.33	0.37
ENSMUSG00000000326	3.53	3.69	4.14	3.91	4.82	4.34	4.59	3.94	4.75	4.76
ENSMUSG00000000339	0.88	0.97	0.88	0.86	1.23	1.12	0.87	1.22	0.98	1.03
ENSMUSG00000000340	0.87	1.06	0.88	0.87	0.9	1.42	1.29	1.37	1.09	1.46
ENSMUSG00000000346	42.61	41.35	50.04	40.39	52.95	38.89	41.06	39.61	47.94	40.86
ENSMUSG00000000355	1.88	2.23	1.96	2.04	2.48	2.14	2.1	1.99	1.91	2.13
ENSMUSG00000000359	0.6	0.37	0.47	0.38	0.65	0.42	0.54	0.37	0.51	0.34
ENSMUSG00000000365	0.01	0	0	0	0	0	0	0	0	0
ENSMUSG00000000374	1.2	1.22	1.3	1.22	1.12	1.46	1.39	1.41	1.35	1.32
ENSMUSG00000000378	0.39	0.48	0.46	0.41	0.5	0.43	0.42	0.38	0.47	0.5
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	1.89	2.8	2.31	2.82	2.82	3.45	2.93	2.67	2.5	3.04
ENSMUSG00000000385	4.22	4.69	6.5	5.31	4.76	1.85	2.16	2.06	2.7	2.28
