,P2,P4,P6,P8,P9,W5,W6,W7,W8,W9
Dio1,7524.444269,5850.808535,6984.972403,6773.166905,6639.164788,4755.243276,6008.935908,4853.086599,6726.121693,6351.395723
Dio2,311.8041827,447.0602968,265.7037774,408.3771897,320.2432844,614.049972,458.9612882,633.3064295,447.1393115,656.7391071
Duox1,134.9708391,82.28104644,35.12868935,261.2476776,75.90058791,48.07985571,57.20401722,0,42.71638673,30.16536463
Duox2,1028.09904,936.2018552,960.5949689,825.1874661,639.5060924,734.2362084,932.2410199,624.9753968,952.9388102,766.2414907
Foxe1,5654.86113,3746.534221,3946.733428,3574.65848,4169.702087,3205.592146,4699.757185,3639.030678,3574.768788,4751.590543
Glis3,836.4958956,657.7224696,783.7578818,617.1410438,478.8300763,591.3889118,499.1700937,883.4560924,1013.463874,692.9853641
Nkx2-1,5755.110185,4826.566238,4588.166281,4096.101615,4483.88845,3541.492955,4800.590075,3225.119144,5233.44859,4256.51336
Pax8,12927.32809,7785.47414,10653.64763,7459.381191,7018.985391,6964.794134,9082.93089,5717.593056,8793.058362,6923.45784
Slc26a4,10.04423886,41.41054686,22.71938887,9.658195553,23.13664624,8.561208764,7.541213659,0,2.850220168,1.751707438
Slc5a5,1003.573179,1681.963335,1563.383093,2080.075389,2759.350566,1310.681202,2339.991487,1028.481183,2421.282845,1494.890572
Slc5a8,707.2534432,862.5796233,938.2567771,452.4800462,683.104219,1391.176523,1760.894687,1306.12194,2078.631644,1625.219132
Tg,2327084.908,2052341.115,2724575.862,1653990.559,1706969.938,2608047.91,3222014.001,2523132.674,4067658.267,3344647.413
Thra,1135.523098,1199.766723,1137.919791,1135.441237,1358.524149,1784.104915,1719.55241,1723.631243,1345.911028,1329.527016
Thrb,218.6947265,237.5212663,321.8311844,220.6767563,257.4830162,348.412763,380.8751022,1081.435734,285.8274858,284.3655466
Tpo,47010.63657,35752.46969,31647.66419,33175.81695,20073.10889,15736.15067,17713.03819,14140.13915,21227.80446,17760.26442
Tshr,5377.353961,2742.261402,1876.10369,3281.533076,2627.804849,2532.696972,1280.728329,1326.212031,2702.131981,1547.824763
