NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	3	3.549755096435547	0.032109722	Yes	
row_1	NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	89	1.9119268655776978	0.04408234	Yes	
row_2	SYK	spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]	152	1.6994633674621582	0.05558959	Yes	
row_3	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	241	1.5167962312698364	0.06377522	Yes	
row_4	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	269	1.490305781364441	0.07561308	Yes	
row_5	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	279	1.476273536682129	0.0884721	Yes	
row_6	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	315	1.4157665967941284	0.099121094	Yes	
row_7	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	318	1.4144517183303833	0.11186433	Yes	
row_8	CD276	CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137]	355	1.3779032230377197	0.12210496	Yes	
row_9	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	480	1.251239538192749	0.12557647	Yes	
row_10	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	523	1.2140671014785767	0.1339433	Yes	
row_11	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	532	1.2053533792495728	0.1444009	Yes	
row_12	THBS3	thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]	540	1.1997648477554321	0.15487145	Yes	
row_13	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	554	1.182806134223938	0.16480474	Yes	
row_14	NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	644	1.114617109298706	0.1692669	Yes	
row_15	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	713	1.0666167736053467	0.17463258	Yes	
row_16	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	737	1.0544407367706299	0.18275957	Yes	
row_17	PCDH1	protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]	744	1.0504032373428345	0.19193482	Yes	
row_18	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	763	1.042148232460022	0.20026907	Yes	
row_19	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	787	1.0303694009780884	0.20817702	Yes	
row_20	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	800	1.0259400606155396	0.21674672	Yes	
row_21	CLDN14	claudin 14 [Source:HGNC Symbol;Acc:HGNC:2035]	807	1.021520733833313	0.22565916	Yes	
row_22	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	816	1.01554536819458	0.23438957	Yes	
row_23	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	818	1.015411376953125	0.24356554	Yes	
row_24	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	825	1.0124047994613647	0.25239503	Yes	
row_25	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	983	0.9403928518295288	0.25093177	Yes	
row_26	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	1001	0.9341976046562195	0.25834754	Yes	
row_27	CDSN	corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]	1006	0.9332885146141052	0.26658475	Yes	
row_28	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	1010	0.9307630658149719	0.2748628	Yes	
row_29	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	1069	0.9106670022010803	0.27944767	Yes	
row_30	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	1083	0.907906174659729	0.28687948	Yes	
row_31	ICAM2	intercellular adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:5345]	1177	0.8821609020233154	0.2889711	Yes	
row_32	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1194	0.8771290183067322	0.2959314	Yes	
row_33	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	1242	0.8629979491233826	0.30078456	Yes	
row_34	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	1366	0.832103431224823	0.3005059	Yes	
row_35	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	1442	0.8081304430961609	0.30307272	Yes	
row_36	DSC3	desmocollin 3 [Source:HGNC Symbol;Acc:HGNC:3037]	1480	0.7977229952812195	0.30797014	Yes	
row_37	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	1491	0.7948885560035706	0.31456503	Yes	
row_38	VASP	vasodilator stimulated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:12652]	1514	0.7880479693412781	0.32033178	Yes	
row_39	CNTN1	contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]	1673	0.7477052211761475	0.31705132	Yes	
row_40	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group) [Source:HGNC Symbol;Acc:HGNC:5347]	1719	0.7322016954421997	0.32084194	Yes	
row_41	ARPC2	actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]	1745	0.7256508469581604	0.3258494	Yes	
row_42	DSC1	desmocollin 1 [Source:HGNC Symbol;Acc:HGNC:3035]	1803	0.7110152840614319	0.32868135	Yes	
row_43	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	1980	0.67237389087677	0.3235666	Yes	
row_44	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	2048	0.6588603854179382	0.32528567	Yes	
row_45	CAP1	cyclase associated actin cytoskeleton regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:20040]	2060	0.6567257046699524	0.33055952	Yes	
row_46	BAIAP2	BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]	2092	0.6513046622276306	0.33450755	Yes	
row_47	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	2093	0.6510645151138306	0.34043196	Yes	
row_48	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]	2096	0.6506842374801636	0.34622523	Yes	
row_49	PARD6G	par-6 family cell polarity regulator gamma [Source:HGNC Symbol;Acc:HGNC:16076]	2317	0.6061986088752747	0.33770004	Yes	
