NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	250	1.507155179977417	0.0048357737	Yes	
row_1	NHP2	NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]	478	1.25214684009552	0.007621164	Yes	
row_2	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	509	1.2279490232467651	0.022650065	Yes	
row_3	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	526	1.2128251791000366	0.0383641	Yes	
row_4	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	587	1.15496826171875	0.050470613	Yes	
row_5	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	613	1.1372795104980469	0.0645676	Yes	
row_6	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	631	1.1234090328216553	0.078983955	Yes	
row_7	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	635	1.1200865507125854	0.094248295	Yes	
row_8	RACK1	receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]	789	1.0297904014587402	0.098689936	Yes	
row_9	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]	862	0.9929674863815308	0.10779489	Yes	
row_10	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	872	0.9903217554092407	0.12088556	Yes	
row_11	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	955	0.9563114047050476	0.12884626	Yes	
row_12	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	981	0.9416182041168213	0.14024335	Yes	
row_13	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	987	0.9393690824508667	0.15288632	Yes	
row_14	RPL34	ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]	1005	0.9334101676940918	0.1646809	Yes	
row_15	FBL	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]	1113	0.9000022411346436	0.17026848	Yes	
row_16	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1179	0.8815886378288269	0.17828345	Yes	
row_17	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	1270	0.8549397587776184	0.18433459	Yes	
row_18	EEF1B2	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]	1413	0.8197205662727356	0.18657981	Yes	
row_19	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	1494	0.7941025495529175	0.1924299	Yes	
row_20	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	1545	0.7804920673370361	0.20000753	Yes	
row_21	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	1569	0.7741425633430481	0.20922135	Yes	
row_22	KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	1572	0.7726039290428162	0.21975468	Yes	
row_23	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	1647	0.7536194920539856	0.22542924	Yes	
row_24	SRPK1	SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305]	1730	0.729285717010498	0.23025724	Yes	
row_25	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]	1756	0.7234260439872742	0.23864354	Yes	
row_26	PSMB3	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]	1774	0.7176477909088135	0.24746087	Yes	
row_27	RPS5	ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]	1875	0.6947829127311707	0.25066358	Yes	
row_28	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	1984	0.6715669631958008	0.2530352	Yes	
row_29	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	2099	0.6500999927520752	0.25472748	Yes	
row_30	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	2127	0.645014762878418	0.26190412	Yes	
row_31	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	2128	0.6449626684188843	0.27080384	Yes	
row_32	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	2188	0.6320149898529053	0.27575806	Yes	
row_33	ERH	ERH mRNA splicing and mitosis factor [Source:HGNC Symbol;Acc:HGNC:3447]	2201	0.6276268362998962	0.28365242	Yes	
row_34	HNRNPC	heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035]	2259	0.6148660182952881	0.28849772	Yes	
row_35	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	2285	0.6102855205535889	0.2953228	Yes	
row_36	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2348	0.6007898449897766	0.29965463	Yes	
row_37	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	2351	0.6001258492469788	0.30780795	Yes	
row_38	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	2372	0.5966777205467224	0.3147645	Yes	
row_39	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	2520	0.5730602145195007	0.3132869	Yes	
row_40	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	2613	0.5571086406707764	0.3151006	Yes	
row_41	EIF3B	eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280]	2784	0.5290160775184631	0.3115468	Yes	
row_42	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	2847	0.5173119306564331	0.31472674	Yes	
row_43	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	2856	0.5162554383277893	0.32133967	Yes	
row_44	TXNL4A	thioredoxin like 4A [Source:HGNC Symbol;Acc:HGNC:30551]	2916	0.5076268911361694	0.32457748	Yes	
row_45	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	2920	0.5074203014373779	0.33138776	Yes	
row_46	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	2975	0.49996501207351685	0.33483908	Yes	
row_47	ILF2	interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]	3076	0.48522916436195374	0.33515018	Yes	
row_48	PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	3153	0.4741380512714386	0.33684054	Yes	
row_49	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	3154	0.47410285472869873	0.3433826	Yes	
row_50	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	3213	0.4665146768093109	0.34611693	Yes	
row_51	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	3215	0.466414213180542	0.35248905	Yes	
row_52	BUB3	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	3325	0.4525180459022522	0.3517742	Yes	
row_53	PSMA7	proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]	3357	0.4490453600883484	0.3559913	Yes	
row_54	IMPDH2	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	3365	0.4478731155395508	0.3617245	Yes	
row_55	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	3450	0.4343252182006836	0.36235473	Yes	
row_56	TRIM28	tripartite motif containing 28 [Source:HGNC Symbol;Acc:HGNC:16384]	3463	0.4324131906032562	0.36755538	Yes	
row_57	SET	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	3499	0.42783382534980774	0.3712244	Yes	
row_58	SRSF3	serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]	3723	0.3966464400291443	0.3624603	Yes	
row_59	PRPF31	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	3745	0.3933776319026947	0.3665477	Yes	
row_60	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	3751	0.3923928141593933	0.37164304	Yes	
row_61	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]	3852	0.37954947352409363	0.3704959	Yes	
row_62	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	3884	0.37482112646102905	0.3736888	Yes	
row_63	PHB	prohibitin [Source:HGNC Symbol;Acc:HGNC:8912]	3893	0.37305471301078796	0.37832576	Yes	
row_64	EXOSC7	exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112]	3913	0.37054991722106934	0.38222584	Yes	
row_65	MRPS18B	mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516]	3937	0.36815881729125977	0.38583758	Yes	
row_66	G3BP1	G3BP stress granule assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30292]	3945	0.3673739433288574	0.39045998	Yes	
row_67	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	3996	0.36141666769981384	0.39225486	Yes	
row_68	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	4006	0.3601449429988861	0.39664984	Yes	
row_69	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]	4058	0.35411131381988525	0.39828008	Yes	
row_70	SNRPA	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]	4067	0.3529532849788666	0.40263966	Yes	
row_71	EIF3D	eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]	4108	0.3483026325702667	0.40489203	Yes	
row_72	EIF1AX	eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	4143	0.3446009159088135	0.4074764	Yes	
row_73	EIF4H	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]	4234	0.33441364765167236	0.4063449	Yes	
row_74	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	4264	0.33192554116249084	0.40907356	Yes	
row_75	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	4289	0.3286147713661194	0.4120758	Yes	
row_76	USP1	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]	4291	0.3281775712966919	0.4165404	Yes	
row_77	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	4398	0.31785276532173157	0.41415885	Yes	
