NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	229	1.1626262664794922	-1.8354441E-4	No	
row_1	P2RY1	purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]	281	1.0803439617156982	0.009926306	No	
row_2	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	286	1.0739330053329468	0.022943337	No	
row_3	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	773	0.7848109602928162	0.0017610145	No	
row_4	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	913	0.738330602645874	0.0020528531	No	
row_5	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	1249	0.6522828340530396	-0.011172581	No	
row_6	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	1298	0.6417195200920105	-0.006292437	No	
row_7	APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	1318	0.6376263499259949	3.7979992E-4	No	
row_8	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	1479	0.6087386012077332	-0.0022641523	No	
row_9	MSRB2	methionine sulfoxide reductase B2 [Source:HGNC Symbol;Acc:HGNC:17061]	1567	0.5921302437782288	-4.7488871E-4	No	
row_10	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	1673	0.5752069354057312	-3.848452E-5	No	
row_11	LEFTY2	left-right determination factor 2 [Source:HGNC Symbol;Acc:HGNC:3122]	1708	0.5706844329833984	0.0048534065	No	
row_12	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	2144	0.513380765914917	-0.016442565	No	
row_13	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	2173	0.5095630288124084	-0.011924744	No	
row_14	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	2305	0.49252113699913025	-0.014162186	No	
row_15	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	2664	0.45228317379951477	-0.031320557	No	
row_16	DCT	dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2709]	2764	0.44420287013053894	-0.032121804	No	
row_17	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	2901	0.43249449133872986	-0.03541873	No	
row_18	PROZ	protein Z, vitamin K dependent plasma glycoprotein [Source:HGNC Symbol;Acc:HGNC:9460]	3319	0.39651989936828613	-0.057015087	No	
row_19	KLKB1	kallikrein B1 [Source:HGNC Symbol;Acc:HGNC:6371]	3486	0.38011908531188965	-0.062865466	No	
row_20	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	3669	0.3652020990848541	-0.06991682	No	
row_21	RAPGEF3	Rap guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:16629]	3725	0.3598058223724365	-0.06896523	No	
row_22	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	3827	0.35078948736190796	-0.07104791	No	
row_23	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	4085	0.3281867206096649	-0.08332223	No	
row_24	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	4091	0.3278387188911438	-0.079588644	No	
row_25	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	4329	0.3045433759689331	-0.09088432	No	
row_26	KLF7	Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	4654	0.2747301161289215	-0.10807644	No	
row_27	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	5052	0.23657108843326569	-0.13037856	No	
row_28	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	5092	0.2332051694393158	-0.1299748	No	
row_29	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	5172	0.2250284105539322	-0.1322137	No	
row_30	SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	5331	0.21043775975704193	-0.1396526	No	
row_31	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	5363	0.208260178565979	-0.13904876	No	
row_32	C8G	complement C8 gamma chain [Source:HGNC Symbol;Acc:HGNC:1354]	5619	0.18539422750473022	-0.15296055	No	
row_33	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	5746	0.17482498288154602	-0.15880625	No	
row_34	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	6153	0.14002229273319244	-0.18287334	No	
row_35	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	6192	0.13669851422309875	-0.18359862	No	
row_36	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	6366	0.12127406895160675	-0.19309248	No	
row_37	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	6480	0.11135044693946838	-0.19889653	No	
