NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCG2	secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]	4	3.248605489730835	0.027410425	No	
row_1	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	86	1.5507073402404785	0.035447083	No	
row_2	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	154	1.2905957698822021	0.04216207	No	
row_3	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	178	1.2406514883041382	0.051259812	No	
row_4	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	214	1.1788614988327026	0.0590655	No	
row_5	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	352	1.0166888236999512	0.058980424	No	
row_6	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	414	0.9728697538375854	0.06337252	No	
row_7	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	552	0.8805508017539978	0.06212807	No	
row_8	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	587	0.8678997755050659	0.06734937	No	
row_9	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	600	0.8621033430099487	0.07392535	No	
row_10	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	663	0.8328412175178528	0.07706112	No	
row_11	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	752	0.7917546629905701	0.07818766	No	
row_12	MAGEE1	MAGE family member E1 [Source:HGNC Symbol;Acc:HGNC:24934]	768	0.7859297394752502	0.083923474	No	
row_13	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	813	0.7719672322273254	0.08768959	No	
row_14	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	1008	0.7105176448822021	0.08135935	No	
row_15	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	1032	0.702562153339386	0.08587463	No	
row_16	ECM2	extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154]	1230	0.6560133695602417	0.07888876	No	
row_17	CAP2	cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039]	1342	0.6312417387962341	0.077180475	No	
row_18	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	1372	0.6273050308227539	0.08067193	No	
row_19	SGCG	sarcoglycan gamma [Source:HGNC Symbol;Acc:HGNC:10809]	1470	0.6095758676528931	0.07967262	No	
row_20	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	1563	0.5932456851005554	0.07885334	No	
row_21	MATN3	matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]	1591	0.5885684490203857	0.08214255	No	
row_22	LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	1597	0.5873111486434937	0.086825095	No	
row_23	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	1673	0.5752069354057312	0.08693714	No	
row_24	COL16A1	collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]	1738	0.5677842497825623	0.08768799	No	
row_25	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	1895	0.5473997592926025	0.08239378	No	
row_26	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	1919	0.5442572832107544	0.08556091	No	
row_27	ABI3BP	ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]	2154	0.5115904211997986	0.07498375	No	
row_28	COL5A3	collagen type V alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:14864]	2189	0.5067074298858643	0.07712908	No	
row_29	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2557	0.46427449584007263	0.057660878	No	
row_30	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	2674	0.4514853060245514	0.054102656	No	
row_31	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	2758	0.4445083439350128	0.052591085	No	
row_32	SERPINE2	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]	2784	0.4421996772289276	0.05476143	No	
row_33	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	2901	0.43249449133872986	0.051041476	No	
row_34	CTHRC1	collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]	2978	0.424612432718277	0.04980721	No	
row_35	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	3033	0.4200025796890259	0.049937733	No	
row_36	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	3117	0.4135093092918396	0.048162166	No	
row_37	TPM2	tropomyosin 2 [Source:HGNC Symbol;Acc:HGNC:12011]	3121	0.4130121171474457	0.051487993	No	
row_38	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	3453	0.3833023011684418	0.03362775	No	
row_39	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	3548	0.3747933506965637	0.03082045	No	
row_40	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	3716	0.360448956489563	0.02323211	No	
row_41	SGCD	sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]	3755	0.35764092206954956	0.023852674	No	
