NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AOC3	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	73	1.6347969770431519	0.014760227	Yes	
row_1	AQP7	aquaporin 7 [Source:HGNC Symbol;Acc:HGNC:640]	113	1.4368112087249756	0.029334052	Yes	
row_2	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	119	1.4177098274230957	0.045844946	Yes	
row_3	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	154	1.2905957698822021	0.05900131	Yes	
row_4	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	165	1.2677505016326904	0.073413886	Yes	
row_5	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	174	1.2458536624908447	0.08769382	Yes	
row_6	TP53INP2	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]	218	1.1766866445541382	0.09892523	Yes	
row_7	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	233	1.1534664630889893	0.11172662	Yes	
row_8	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	279	1.0847368240356445	0.12173925	Yes	
row_9	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	282	1.0796571969985962	0.13442817	Yes	
row_10	ACADL	acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]	284	1.074697494506836	0.14712186	Yes	
row_11	GSTZ1	glutathione S-transferase zeta 1 [Source:HGNC Symbol;Acc:HGNC:4643]	288	1.071693778038025	0.15965262	Yes	
row_12	GPD2	glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]	299	1.0622731447219849	0.17162605	Yes	
row_13	AUH	AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]	340	1.0265367031097412	0.18126601	Yes	
row_14	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	346	1.0219519138336182	0.19307901	Yes	
row_15	CD1D	CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]	349	1.019264817237854	0.20505103	Yes	
row_16	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	356	1.014270305633545	0.21670921	Yes	
row_17	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	364	1.0091534852981567	0.22824301	Yes	
row_18	CPT2	carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]	382	0.9911558032035828	0.23892674	Yes	
row_19	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	391	0.9843227863311768	0.25010213	Yes	
row_20	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	419	0.9672217965126038	0.25986534	Yes	
row_21	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	424	0.9632971882820129	0.2710457	Yes	
row_22	CIDEA	cell death inducing DFFA like effector a [Source:HGNC Symbol;Acc:HGNC:1976]	425	0.9609552621841431	0.28245285	Yes	
row_23	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	439	0.9481033682823181	0.2928801	Yes	
row_24	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	443	0.9450423121452332	0.30390742	Yes	
row_25	PDHB	pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]	455	0.938707709312439	0.3143504	Yes	
row_26	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	478	0.9207783341407776	0.3238805	Yes	
row_27	PPARA	peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]	496	0.9096977710723877	0.33359727	Yes	
row_28	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	513	0.8994699716567993	0.34325626	Yes	
row_29	SUCLA2	succinate-CoA ligase ADP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11448]	527	0.8920652866363525	0.3530183	Yes	
row_30	HSPH1	heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]	564	0.877694308757782	0.361146	Yes	
row_31	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	594	0.8652360439300537	0.36957127	Yes	
row_32	ACAA2	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	616	0.8542672991752625	0.3783755	Yes	
row_33	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	638	0.8427025675773621	0.38704243	Yes	
row_34	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	690	0.8198915719985962	0.39352933	Yes	
row_35	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	876	0.7474281787872314	0.39062807	Yes	
row_36	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	896	0.7430856227874756	0.3982398	Yes	
row_37	GCDH	glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]	985	0.7186098098754883	0.4011697	Yes	
row_38	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	1003	0.7115780711174011	0.40853465	Yes	
row_39	ECHS1	enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]	1025	0.7065157890319824	0.41558495	Yes	
row_40	ADSL	adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]	1086	0.6872329115867615	0.41992435	Yes	
row_41	HSDL2	hydroxysteroid dehydrogenase like 2 [Source:HGNC Symbol;Acc:HGNC:18572]	1119	0.6803146600723267	0.42596358	Yes	
row_42	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	1130	0.6789908409118652	0.43338722	Yes	
row_43	SDHC	succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]	1165	0.6696836948394775	0.43917295	Yes	
row_44	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	1255	0.6503041982650757	0.44122836	Yes	
row_45	D2HGDH	D-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:28358]	1425	0.6180983185768127	0.43781015	Yes	
row_46	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]	1434	0.6161430478096008	0.44461504	Yes	
row_47	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	1462	0.6108320355415344	0.45014766	Yes	
row_48	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	1515	0.6017797589302063	0.45398182	Yes	
row_49	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	1594	0.5880571603775024	0.45599836	Yes	
row_50	GRHPR	glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]	1642	0.5806666612625122	0.45990008	Yes	
row_51	CRYZ	crystallin zeta [Source:HGNC Symbol;Acc:HGNC:2419]	1665	0.5771322846412659	0.4653509	Yes	
row_52	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	1720	0.5695547461509705	0.46867523	Yes	
row_53	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	1894	0.5474210977554321	0.46416345	No	
row_54	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	1975	0.5370919108390808	0.46544775	No	
row_55	RDH11	retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]	2050	0.5266025066375732	0.46698937	No	
row_56	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	2141	0.5138109922409058	0.46736088	No	
row_57	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	2352	0.48833781480789185	0.45979303	No	
row_58	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	2437	0.4774692952632904	0.46011502	No	
row_59	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	2441	0.47702500224113464	0.46558666	No	
row_60	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2588	0.46101242303848267	0.4617675	No	
row_61	ECI2	enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:14601]	2856	0.4362955093383789	0.4499543	No	
row_62	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	3191	0.4068930149078369	0.4335281	No	
row_63	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	3234	0.40329936146736145	0.43564257	No	
row_64	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	3252	0.40219759941101074	0.439335	No	
row_65	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	3329	0.39556756615638733	0.43919387	No	
row_66	SUCLG2	succinate-CoA ligase GDP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11450]	3358	0.3926679790019989	0.4420731	No	
row_67	ECI1	enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]	3396	0.38975241780281067	0.444345	No	
row_68	ACSS1	acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]	4095	0.3275737464427948	0.40381166	No	
row_69	UROS	uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592]	4181	0.3191831111907959	0.40219104	No	
row_70	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	4295	0.30741173028945923	0.3986487	No	
row_71	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	4375	0.3007698655128479	0.39719135	No	
row_72	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	4388	0.29978394508361816	0.3999863	No	
row_73	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	4531	0.28575044870376587	0.39434123	No	
row_74	SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	4736	0.26545169949531555	0.3845094	No	
row_75	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	4748	0.264352411031723	0.3869474	No	
row_76	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	4838	0.2554517686367035	0.38431567	No	
row_77	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	5352	0.20909865200519562	0.35414967	No	
row_78	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	5369	0.20766882598400116	0.35559654	No	
row_79	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	5441	0.20118942856788635	0.35346624	No	
row_80	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	5462	0.1991899162530899	0.35455793	No	
row_81	PTPRG	protein tyrosine phosphatase receptor type G [Source:HGNC Symbol;Acc:HGNC:9671]	5675	0.18137724697589874	0.34321898	No	
row_82	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	5835	0.16735464334487915	0.33508655	No	
row_83	PTS	6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:HGNC:9689]	5864	0.16532456874847412	0.3352671	No	
row_84	CA6	carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]	5928	0.1601881980895996	0.33315924	No	
row_85	CPOX	coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321]	5947	0.15852105617523193	0.33389542	No	
row_86	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	6179	0.1382177323102951	0.32083493	No	
row_87	METAP1	methionyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:15789]	6328	0.1253342628479004	0.3129038	No	
row_88	SERINC1	serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]	6344	0.12350225448608398	0.31341523	No	
row_89	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	6360	0.12176812440156937	0.31390604	No	
row_90	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	6368	0.1210201159119606	0.31489715	No	
row_91	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646]	7016	0.06485890597105026	0.27449098	No	
row_92	PRDX6	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	7046	0.06315251439809799	0.27339503	No	
row_93	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	7196	0.05020083487033844	0.26450834	No	
row_94	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	7238	0.04655206948518753	0.26245165	No	
row_95	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	7313	0.03989805281162262	0.25821579	No	
row_96	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	7402	0.03232824057340622	0.25299907	No	
row_97	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	7447	0.026976536959409714	0.25051907	No	
row_98	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	7473	0.024942979216575623	0.24922413	No	
row_99	MCEE	methylmalonyl-CoA epimerase [Source:HGNC Symbol;Acc:HGNC:16732]	8394	-0.04781671240925789	0.1912415	No	
row_100	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	8450	-0.05256648734211922	0.1883652	No	
row_101	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	8523	-0.059097371995449066	0.18448454	No	
row_102	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	8633	-0.06850752234458923	0.17836083	No	
row_103	OSTC	oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448]	8696	-0.07370933890342712	0.17529003	No	
row_104	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	8712	-0.07515514642000198	0.17522755	No	
row_105	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]	8790	-0.08192586153745651	0.17129965	No	
row_106	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	8837	-0.08631916344165802	0.1693968	No	
row_107	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	8890	-0.09065619111061096	0.1671636	No	
