NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	86	1.5507073402404785	0.01079147	Yes	
row_1	MEF2D	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]	275	1.087921142578125	0.010211614	Yes	
row_2	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	310	1.0557714700698853	0.019126283	Yes	
row_3	SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	407	0.9740752577781677	0.023224782	Yes	
row_4	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	415	0.9710146188735962	0.03297333	Yes	
row_5	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	424	0.9632971882820129	0.042577	Yes	
row_6	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	453	0.9392633438110352	0.050651424	Yes	
row_7	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	482	0.9176095128059387	0.058498487	Yes	
row_8	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	483	0.9168446063995361	0.06812517	Yes	
row_9	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	615	0.8547142148017883	0.06873584	Yes	
row_10	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	681	0.8232832551002502	0.07323024	Yes	
row_11	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	690	0.8198915719985962	0.081328176	Yes	
row_12	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	770	0.7851889729499817	0.084528774	Yes	
row_13	MYH4	myosin heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:7574]	790	0.7779183983802795	0.09148371	Yes	
row_14	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	867	0.7497409582138062	0.09450364	Yes	
row_15	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	883	0.7462174892425537	0.1013811	Yes	
row_16	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	915	0.7379177808761597	0.10714991	Yes	
row_17	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	1021	0.7075742483139038	0.10787559	Yes	
row_18	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	1032	0.702562153339386	0.11461391	Yes	
row_19	COL15A1	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	1142	0.6762577891349792	0.11475541	Yes	
row_20	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	1233	0.6549897193908691	0.11588664	Yes	
row_21	PDE4DIP	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]	1327	0.6356858015060425	0.116623655	Yes	
row_22	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	1329	0.6355434656143188	0.123232886	Yes	
row_23	HRC	histidine rich calcium binding protein [Source:HGNC Symbol;Acc:HGNC:5178]	1340	0.6317452192306519	0.12922764	Yes	
row_24	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	1352	0.6300236582756042	0.13514046	Yes	
row_25	CHRNG	cholinergic receptor nicotinic gamma subunit [Source:HGNC Symbol;Acc:HGNC:1967]	1389	0.6228571534156799	0.13938193	Yes	
row_26	SH3BGR	SH3 domain binding glutamate rich protein [Source:HGNC Symbol;Acc:HGNC:10822]	1392	0.6224252581596375	0.14578958	Yes	
row_27	MEF2A	myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]	1420	0.6187137365341187	0.15056215	Yes	
row_28	SGCG	sarcoglycan gamma [Source:HGNC Symbol;Acc:HGNC:10809]	1470	0.6095758676528931	0.15383418	Yes	
row_29	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	1542	0.5975327491760254	0.15557517	Yes	
row_30	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	1569	0.5913373827934265	0.16012414	Yes	
row_31	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	1633	0.5820127725601196	0.16221294	Yes	
row_32	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	1640	0.5808912515640259	0.16792911	Yes	
row_33	MYOM2	myomesin 2 [Source:HGNC Symbol;Acc:HGNC:7614]	1669	0.5763410925865173	0.17219293	Yes	
row_34	PYGM	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]	1685	0.5739462375640869	0.17726158	Yes	
row_35	MYOM1	myomesin 1 [Source:HGNC Symbol;Acc:HGNC:7613]	1699	0.57228684425354	0.18244049	Yes	
row_36	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	1712	0.5703703165054321	0.18766312	Yes	
row_37	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	1748	0.5663626790046692	0.19137526	Yes	
row_38	CKMT2	creatine kinase, mitochondrial 2 [Source:HGNC Symbol;Acc:HGNC:1996]	1779	0.5612262487411499	0.19535267	Yes	
