NAME	TITLE	SCORE	
HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:5200]	4.176351	
STRA6	signaling receptor and transporter of retinol STRA6 [Source:HGNC Symbol;Acc:HGNC:30650]	4.10634	
GPR39	G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]	3.9241827	
LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	3.549755	
BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	3.4889984	
RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	3.0579584	
GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	2.9596052	
BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	2.957611	
PSRC1	proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]	2.949897	
CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	2.9428964	
SOX17	SRY-box transcription factor 17 [Source:HGNC Symbol;Acc:HGNC:18122]	2.9102173	
KHK	ketohexokinase [Source:HGNC Symbol;Acc:HGNC:6315]	2.8820636	
MASP2	mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]	2.7875183	
TNFSF8	TNF superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11938]	2.752984	
CEACAM21	CEA cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]	2.7063744	
PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	2.6865766	
GPR176	G protein-coupled receptor 176 [Source:HGNC Symbol;Acc:HGNC:32370]	2.676414	
CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	2.6184435	
CD300LB	CD300 molecule like family member b [Source:HGNC Symbol;Acc:HGNC:30811]	2.605141	
KANK4	KN motif and ankyrin repeat domains 4 [Source:HGNC Symbol;Acc:HGNC:27263]	2.5332344	
SLC1A1	solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939]	2.5227468	
TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]	2.4472802	
TMEM100	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]	2.438799	
PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	2.4364839	
ANKRD29	ankyrin repeat domain 29 [Source:HGNC Symbol;Acc:HGNC:27110]	2.4271195	
SLC15A3	solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]	2.417668	
PTGS1	prostaglandin-endoperoxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:9604]	2.3989065	
CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	2.379652	
HOXB5	homeobox B5 [Source:HGNC Symbol;Acc:HGNC:5116]	2.3717074	
CLEC7A	C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]	2.367552	
SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	2.3441312	
MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	2.3383064	
GSTA3	glutathione S-transferase alpha 3 [Source:HGNC Symbol;Acc:HGNC:4628]	2.32356	
CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	2.292208	
CCL4L2	C-C motif chemokine ligand 4 like 2 [Source:HGNC Symbol;Acc:HGNC:24066]	2.291783	
CLEC6A	C-type lectin domain containing 6A [Source:HGNC Symbol;Acc:HGNC:14556]	2.2868922	
MAP6D1	MAP6 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25753]	2.2673545	
IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	2.2602408	
MXD3	MAX dimerization protein 3 [Source:HGNC Symbol;Acc:HGNC:14008]	2.2565875	
IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	2.225013	
MALT1	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]	2.2240605	
CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	2.205073	
TREM1	triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]	2.1901028	
FERMT1	fermitin family member 1 [Source:HGNC Symbol;Acc:HGNC:15889]	2.1894696	
OAS3	2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]	2.184568	
MFGE8	milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]	2.182752	
CCL8	C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635]	2.1783903	
MYO1G	myosin IG [Source:HGNC Symbol;Acc:HGNC:13880]	2.1604142	
IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	2.1595936	
FAM178B	family with sequence similarity 178 member B [Source:HGNC Symbol;Acc:HGNC:28036]	2.1586635	
ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	2.1584976	
TREM2	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]	2.149398	
CYTIP	cytohesin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:9506]	2.134915	
UBD	ubiquitin D [Source:HGNC Symbol;Acc:HGNC:18795]	2.1314383	
PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]	2.1078274	
CLEC4D	C-type lectin domain family 4 member D [Source:HGNC Symbol;Acc:HGNC:14554]	2.0933924	
ALKAL1	ALK and LTK ligand 1 [Source:HGNC Symbol;Acc:HGNC:33775]	2.0880558	
SERPINB9	serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]	2.0783563	
KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:6289]	2.0748556	
CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	2.0667574	
NCAPG	non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304]	2.0519812	
KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	2.0441513	
CPA4	carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]	2.0104725	
OSGIN2	oxidative stress induced growth inhibitor family member 2 [Source:HGNC Symbol;Acc:HGNC:1355]	2.0014706	
RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	1.9993187	
EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	1.9923843	
TMPRSS2	transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876]	1.9908369	
ELMOD1	ELMO domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25334]	1.9862623	
C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	1.9862441	
CD300LF	CD300 molecule like family member f [Source:HGNC Symbol;Acc:HGNC:29883]	1.9843816	
C16orf89	chromosome 16 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:28687]	1.9843571	
TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	1.9805944	
EPHA1	EPH receptor A1 [Source:HGNC Symbol;Acc:HGNC:3385]	1.9765923	
ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]	1.9752833	
PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	1.9683912	
ATP2B2	ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815]	1.954894	
