Gene.stable.ID,HGNC.symbol,Gene.stable.ID.1
ENSMUSG00000000001,GNAI3,ENSG00000065135
ENSMUSG00000000028,CDC45,ENSG00000093009
ENSMUSG00000000037,SCML2,ENSG00000102098
ENSMUSG00000000049,APOH,ENSG00000091583
ENSMUSG00000000056,NARF,ENSG00000141562
ENSMUSG00000000058,CAV2,ENSG00000105971
ENSMUSG00000000078,KLF6,ENSG00000067082
ENSMUSG00000000085,SCMH1,ENSG00000010803
ENSMUSG00000000093,TBX2,ENSG00000121068
ENSMUSG00000000094,TBX4,ENSG00000121075
ENSMUSG00000000120,NGFR,ENSG00000064300
ENSMUSG00000000125,WNT3,ENSG00000108379
ENSMUSG00000000126,WNT9A,ENSG00000143816
ENSMUSG00000000127,FER,ENSG00000151422
ENSMUSG00000000131,XPO6,ENSG00000169180
ENSMUSG00000000134,TFE3,ENSG00000068323
ENSMUSG00000000142,AXIN2,ENSG00000168646
ENSMUSG00000000148,BRAT1,ENSG00000106009
ENSMUSG00000000149,GNA12,ENSG00000146535
ENSMUSG00000000154,SLC22A18,ENSG00000110628
ENSMUSG00000000167,PIH1D2,ENSG00000150773
ENSMUSG00000000168,DLAT,ENSG00000150768
ENSMUSG00000000171,SDHD,ENSG00000204370
ENSMUSG00000000171,,ENSG00000255292
ENSMUSG00000000183,FGF6,ENSG00000111241
ENSMUSG00000000184,CCND2,ENSG00000118971
ENSMUSG00000000184,,ENSG00000285901
ENSMUSG00000000194,GPR107,ENSG00000148358
ENSMUSG00000000197,NALCN,ENSG00000102452
ENSMUSG00000000202,BTBD17,ENSG00000204347
ENSMUSG00000000204,SLFN12,ENSG00000172123
ENSMUSG00000000204,SLFN12L,ENSG00000205045
ENSMUSG00000000214,TH,ENSG00000180176
ENSMUSG00000000216,SCNN1G,ENSG00000166828
ENSMUSG00000000223,DRP2,ENSG00000102385
ENSMUSG00000000244,TSPAN32,ENSG00000064201
ENSMUSG00000000247,LHX2,ENSG00000106689
ENSMUSG00000000248,CLEC2D,ENSG00000069493
ENSMUSG00000000253,GMPR,ENSG00000137198
ENSMUSG00000000263,GLRA1,ENSG00000145888
ENSMUSG00000000266,MID2,ENSG00000080561
ENSMUSG00000000275,TRIM25,ENSG00000121060
ENSMUSG00000000276,DGKE,ENSG00000153933
ENSMUSG00000000278,SCPEP1,ENSG00000121064
ENSMUSG00000000282,MNT,ENSG00000070444
ENSMUSG00000000290,ITGB2,ENSG00000160255
ENSMUSG00000000295,HDDC2,ENSG00000111906
ENSMUSG00000000296,TPD52L1,ENSG00000111907
ENSMUSG00000000301,PEMT,ENSG00000133027
ENSMUSG00000000303,CDH1,ENSG00000039068
ENSMUSG00000000305,CDH4,ENSG00000179242
ENSMUSG00000000308,CKMT1B,ENSG00000237289
ENSMUSG00000000308,CKMT1A,ENSG00000223572
ENSMUSG00000000317,BCL6B,ENSG00000161940
ENSMUSG00000000318,CLEC10A,ENSG00000132514
ENSMUSG00000000320,ALOX12,ENSG00000108839
ENSMUSG00000000325,ARVCF,ENSG00000099889
ENSMUSG00000000326,COMT,ENSG00000093010
ENSMUSG00000000339,RTCA,ENSG00000137996
ENSMUSG00000000340,DBT,ENSG00000137992
ENSMUSG00000000346,DAZAP2,ENSG00000183283
ENSMUSG00000000355,MCTS1,ENSG00000232119
ENSMUSG00000000359,REM1,ENSG00000088320
ENSMUSG00000000365,RNF17,ENSG00000132972
ENSMUSG00000000374,TRAPPC10,ENSG00000160218
ENSMUSG00000000378,CCM2,ENSG00000136280
ENSMUSG00000000384,TBRG4,ENSG00000136270
ENSMUSG00000000385,TMPRSS2,ENSG00000184012
ENSMUSG00000000386,MX1,ENSG00000157601
ENSMUSG00000000392,FAP,ENSG00000078098
ENSMUSG00000000399,NDUFA9,ENSG00000139180
ENSMUSG00000000402,EGFL6,ENSG00000198759
ENSMUSG00000000409,LCK,ENSG00000182866
ENSMUSG00000000411,TSSK3,ENSG00000162526
ENSMUSG00000000416,CTTNBP2,ENSG00000077063
ENSMUSG00000000420,GALNT1,ENSG00000141429
ENSMUSG00000000435,MYF5,ENSG00000111049
ENSMUSG00000000439,MKRN2,ENSG00000075975
ENSMUSG00000000440,PPARG,ENSG00000132170
ENSMUSG00000000441,RAF1,ENSG00000132155
ENSMUSG00000000486,SEPTIN1,ENSG00000180096
ENSMUSG00000000489,PDGFB,ENSG00000100311
ENSMUSG00000000530,ACVRL1,ENSG00000139567
ENSMUSG00000000531,TAMALIN,ENSG00000161835
ENSMUSG00000000532,ACVR1B,ENSG00000135503
ENSMUSG00000000538,TOM1L2,ENSG00000175662
ENSMUSG00000000544,GPA33,ENSG00000143167
ENSMUSG00000000552,ZNF385A,ENSG00000161642
ENSMUSG00000000555,ITGA5,ENSG00000161638
ENSMUSG00000000560,GABRA2,ENSG00000151834
ENSMUSG00000000561,WDR77,ENSG00000116455
ENSMUSG00000000562,ADORA3,ENSG00000282608
ENSMUSG00000000563,ATP5PB,ENSG00000116459
ENSMUSG00000000567,SOX9,ENSG00000125398
ENSMUSG00000000568,HNRNPD,ENSG00000138668
ENSMUSG00000000579,DYNLT1,ENSG00000146425
ENSMUSG00000000581,C1D,ENSG00000197223
ENSMUSG00000000594,GM2A,ENSG00000196743
ENSMUSG00000000600,,ENSG00000285953
ENSMUSG00000000600,KRIT1,ENSG00000001631
ENSMUSG00000000605,CLCN4,ENSG00000073464
ENSMUSG00000000627,SEMA4F,ENSG00000135622
ENSMUSG00000000628,HK2,ENSG00000159399
ENSMUSG00000000631,MYO18A,ENSG00000196535
ENSMUSG00000000632,SEZ6,ENSG00000063015
ENSMUSG00000000673,HAAO,ENSG00000162882
ENSMUSG00000000682,CD52,ENSG00000169442
ENSMUSG00000000686,ABHD15,ENSG00000168792
ENSMUSG00000000690,HOXB6,ENSG00000108511
ENSMUSG00000000693,LOXL3,ENSG00000115318
ENSMUSG00000000706,BTN1A1,ENSG00000124557
ENSMUSG00000000708,KAT2B,ENSG00000114166
ENSMUSG00000000711,RAB5B,ENSG00000111540
ENSMUSG00000000730,,ENSG00000279493
ENSMUSG00000000730,DNMT3L,ENSG00000142182
