NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	122	1.7932684421539307	0.0110399015	No	
row_1	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	127	1.7883890867233276	0.029562248	No	
row_2	SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	147	1.7113745212554932	0.04631829	No	
row_3	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	314	1.416245698928833	0.05059036	No	
row_4	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	413	1.3112062215805054	0.058100976	No	
row_5	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	580	1.1617555618286133	0.05970095	No	
row_6	MYL7	myosin light chain 7 [Source:HGNC Symbol;Acc:HGNC:21719]	724	1.061822772026062	0.06172008	No	
row_7	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	737	1.0544407367706299	0.07202536	No	
row_8	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	1012	0.9291754364967346	0.06428806	No	
row_9	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	1384	0.8279188871383667	0.049294647	No	
row_10	GJA5	gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]	1553	0.7777121067047119	0.046734553	No	
row_11	MYBPC3	myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]	1583	0.770156979560852	0.052969553	No	
row_12	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	1614	0.7636221647262573	0.05907209	No	
row_13	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	1625	0.758124828338623	0.0663938	No	
row_14	WWTR1	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	1664	0.7495458126068115	0.07183778	No	
row_15	MAPRE3	microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]	1736	0.7274558544158936	0.07494295	No	
row_16	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	1830	0.7049879431724548	0.07640762	No	
row_17	BDKRB2	bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]	1958	0.6757655143737793	0.07539474	No	
row_18	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	1997	0.6698904037475586	0.08000235	No	
row_19	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	2048	0.6588603854179382	0.08372802	No	
row_20	SPDEF	SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:17257]	2316	0.6062372326850891	0.07304685	No	
row_21	LSP1	lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]	2319	0.605534553527832	0.07927715	No	
row_22	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	2424	0.588215172290802	0.07881344	No	
row_23	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	2430	0.5871190428733826	0.084658846	No	
row_24	KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	2508	0.575509250164032	0.08578554	No	
row_25	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	2542	0.5691457390785217	0.08965457	No	
row_26	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	2567	0.5647032260894775	0.09405157	No	
row_27	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	2602	0.5589168071746826	0.09774937	No	
row_28	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	2643	0.5511375665664673	0.10098241	No	
row_29	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	2918	0.5075279474258423	0.088817894	No	
row_30	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	3021	0.49438902735710144	0.08749672	No	
row_31	CTF1	cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]	3056	0.48817533254623413	0.09045174	No	
row_32	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	3451	0.4340378940105438	0.06985423	No	
row_33	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	3713	0.39764559268951416	0.057365954	No	
row_34	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	3729	0.39597323536872864	0.060565922	No	
row_35	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	3941	0.36761680245399475	0.050954584	No	
row_36	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	4073	0.35222601890563965	0.046289228	No	
row_37	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	4149	0.3440176546573639	0.04511299	No	
row_38	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	4223	0.3355950713157654	0.043976005	No	
row_39	AEBP1	AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]	4422	0.31565508246421814	0.034649063	No	
row_40	SORBS3	sorbin and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30907]	4456	0.31248483061790466	0.035823215	No	
row_41	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	4490	0.30985042452812195	0.036969706	No	
row_42	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	4532	0.30569949746131897	0.037561856	No	
row_43	GAA	glucosidase alpha, acid [Source:HGNC Symbol;Acc:HGNC:4065]	4656	0.2935352027416229	0.032791015	No	
row_44	SLN	sarcolipin [Source:HGNC Symbol;Acc:HGNC:11089]	4737	0.2870561182498932	0.030697469	No	
row_45	NCAM1	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]	4773	0.28266099095344543	0.03143079	No	
row_46	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	4833	0.2767437696456909	0.030569702	No	
