NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	33	2.292207956314087	0.01969273	Yes	
row_1	MXD3	MAX dimerization protein 3 [Source:HGNC Symbol;Acc:HGNC:14008]	38	2.256587505340576	0.040898196	Yes	
row_2	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	61	2.0441513061523438	0.058934126	Yes	
row_3	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	98	1.8903106451034546	0.074613154	Yes	
row_4	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	123	1.7928931713104248	0.09013185	Yes	
row_5	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	127	1.7883890867233276	0.10694845	Yes	
row_6	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	133	1.7622326612472534	0.1233886	Yes	
row_7	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	144	1.7215344905853271	0.13912249	Yes	
row_8	CDCA3	cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]	156	1.6929799318313599	0.15452096	Yes	
row_9	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	187	1.6101404428482056	0.16791855	Yes	
row_10	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	196	1.5931349992752075	0.182559	Yes	
row_11	HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]	202	1.580262541770935	0.19726856	Yes	
row_12	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	210	1.5619574785232544	0.21167634	Yes	
row_13	KIF18B	kinesin family member 18B [Source:HGNC Symbol;Acc:HGNC:27102]	222	1.5394725799560547	0.2256149	Yes	
row_14	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	246	1.5118075609207153	0.23852424	Yes	
row_15	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	250	1.507155179977417	0.2526662	Yes	
